Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%
Antonio Adán,ESP,GK,Betis,La Liga,30,1987,30,30,2700,30.0,53,1.77,126,79,60.3,14,4,12,9,30.0,4,3,1,0,25.0
René Adler,GER,GK,Mainz 05,Bundesliga,32,1985,14,14,1260,14.0,18,1.29,51,34,66.7,5,3,6,4,28.6,2,1,0,1,0.0
Adrián,ESP,GK,West Ham,Premier League,30,1987,19,19,1710,19.0,29,1.53,96,66,70.8,7,6,6,6,31.6,1,1,0,0,0.0
Alisson,BRA,GK,Roma,Serie A,24,1992,37,37,3330,37.0,28,0.76,135,107,81.5,22,8,7,17,45.9,5,3,2,0,40.0
Sergio Álvarez,ESP,GK,Celta Vigo,La Liga,30,1986,17,16,1475,16.4,29,1.77,75,47,62.7,3,6,7,3,18.8,1,1,0,0,0.0
Ibrahim Amadou,FRA,MF,Lille,Ligue 1,24,1993,1,0,17,26.7,2,10.59,2,1,50.0,0,0,0,0,,1,1,0,0,0.0
Jon Ander Serantes,ESP,GK,Leganés,La Liga,27,1989,1,1,90,1.0,2,2.00,9,7,77.8,1,0,0,0,0.0,0,0,0,0,
Nícolas Andrade,BRA,GK,Hellas Verona,Serie A,29,1988,36,36,3240,36.0,71,1.97,231,167,71.9,7,4,25,7,19.4,8,6,2,0,25.0
Miguel Ángel Moyá,ESP,GK,Real Sociedad,La Liga,33,1984,9,9,765,8.5,8,0.94,30,24,80.0,3,2,4,3,33.3,3,2,1,0,33.3
Alphonse Areola,FRA,GK,Paris S-G,Ligue 1,24,1993,34,34,3060,34.0,25,0.74,106,82,77.4,26,6,2,17,50.0,2,1,1,0,50.0
Kepa Arrizabalaga,ESP,GK,Athletic Club,La Liga,22,1994,30,30,2700,30.0,43,1.43,135,95,68.9,7,9,14,7,23.3,3,1,2,0,66.7
Sergio Asenjo,ESP,GK,Villarreal,La Liga,28,1989,23,23,2070,23.0,30,1.30,91,62,70.3,12,3,8,6,26.1,5,3,2,0,40.0
Mariano Barbosa,ARG,GK,Villarreal,La Liga,33,1984,13,12,1125,12.5,14,1.12,48,35,72.9,6,3,3,5,41.7,1,1,0,0,0.0
Oliver Baumann,GER,GK,Hoffenheim,Bundesliga,27,1990,34,34,3060,34.0,48,1.41,146,104,69.2,15,10,9,10,29.4,4,3,1,0,25.0
Asmir Begović,BIH,GK,Bournemouth,Premier League,30,1987,38,38,3420,38.0,61,1.61,171,113,65.5,11,11,16,6,15.8,4,2,1,1,33.3
Vid Belec,SVN,GK,Sampdoria,Serie A,27,1990,2,2,180,2.0,5,2.50,15,11,73.3,0,0,2,0,0.0,1,1,0,0,0.0
Vid Belec,SVN,GK,Benevento,Serie A,27,1990,13,13,1113,12.4,32,2.59,73,51,60.3,2,0,10,1,7.7,3,3,0,0,0.0
