Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Press,Pass Types Sw,Pass Types Crs,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Height Ground,Height Low,Height High,Body Parts Left,Body Parts Right,Body Parts Head,Body Parts TI,Body Parts Other,Outcomes Cmp,Outcomes Off,Outcomes Out,Outcomes Int,Outcomes Blocks
Patrick van Aanholt,NED,DF,Crystal Palace,Premier League,26,1990,24.3,1157,885,272,27,1,120,28,42,11,2,7,0,664,233,260,731,163,23,234,4,887,3,18,35,32
Rolando Aarons,ENG,MF,Hellas Verona,Serie A,21,1995,5.7,115,106,9,4,0,32,4,6,0,0,0,0,76,19,20,79,26,2,2,0,81,0,9,1,7
Rolando Aarons,ENG,FW,Newcastle Utd,Premier League,21,1995,1.5,43,42,1,1,0,9,2,3,0,0,0,0,31,11,1,28,10,3,0,0,30,1,1,2,3
Ignazio Abate,ITA,DF,Milan,Serie A,30,1986,11.7,774,659,115,9,0,122,16,26,2,0,0,1,466,119,189,65,584,16,104,0,625,4,14,9,26
Aymen Abdennour,TUN,DF,Marseille,Ligue 1,27,1989,5.5,336,335,1,1,0,38,9,0,0,0,0,0,285,24,27,294,20,17,0,2,304,1,6,2,4
Aly Abeid,MTN,DF,Levante,La Liga,19,1997,0.9,38,31,7,0,0,1,0,2,0,0,0,0,20,10,8,20,10,1,7,0,29,0,1,1,2
Mehdi Abeid,ALG,MF,Dijon,Ligue 1,24,1992,13.1,611,598,13,8,0,78,20,7,1,0,0,0,494,45,72,47,520,36,4,1,519,1,16,15,10
David Abraham,ARG,DF,Eint Frankfurt,Bundesliga,31,1986,25.6,1313,1274,39,32,1,147,68,6,0,0,0,0,823,165,325,208,923,135,7,2,1081,4,29,10,10
Tammy Abraham,ENG,FW,Swansea City,Premier League,19,1997,19.2,305,275,30,1,1,116,5,14,0,0,0,0,198,68,39,26,223,13,1,8,217,0,6,13,11
Amir Abrashi,ALB,MF,Freiburg,Bundesliga,27,1990,9.4,335,329,6,5,0,85,9,4,0,0,0,0,205,52,78,18,272,28,1,1,260,0,9,8,8
Francesco Acerbi,ITA,DF,Sassuolo,Serie A,29,1988,38.0,1643,1546,97,72,1,235,74,9,0,0,0,0,1007,233,403,1150,271,131,25,3,1359,3,41,20,17
Afriyie Acquah,GHA,MF,Torino,Serie A,25,1992,10.6,480,475,5,4,0,88,5,8,0,0,0,0,373,45,62,25,423,19,0,1,403,2,8,6,10
Charlie Adam,SCO,MF,Stoke City,Premier League,31,1985,4.6,286,260,26,13,3,44,12,11,9,4,4,1,123,42,121,220,38,15,4,1,170,5,13,10,7
Antonio Adán,ESP,GK,Betis,La Liga,30,1987,30.0,1164,881,283,84,1,117,32,0,0,0,0,0,571,43,550,785,238,2,0,114,813,1,39,8,2
Aday,ESP,DF,Girona,La Liga,29,1987,20.4,1021,848,173,15,0,165,37,104,3,0,0,0,525,181,315,122,657,64,155,1,721,2,28,31,43
Khaled Adénon,BEN,DF,Amiens,Ligue 1,32,1985,32.5,1168,1124,44,43,1,141,28,1,0,0,0,0,817,94,257,220,792,137,1,3,958,3,35,14,16
Claud Adjapong,ITA,DF,Sassuolo,Serie A,19,1998,13.6,514,452,62,1,0,86,2,24,1,0,0,0,288,76,150,81,323,41,60,2,360,2,8,9,27
René Adler,GER,GK,Mainz 05,Bundesliga,32,1985,14.0,386,272,114,24,0,24,11,0,0,0,0,0,161,13,212,39,284,1,0,40,241,3,15,1,0
Yacine Adli,FRA,FW,Paris S-G,Ligue 1,17,2000,0.1,7,7,0,0,0,1,2,0,0,0,0,0,6,0,1,2,5,0,0,0,7,0,0,0,0
Ali Adnan Kadhim,IRQ,DF,Udinese,Serie A,23,1993,18.6,902,692,210,17,0,124,27,53,24,6,3,1,373,161,368,473,153,63,169,5,588,0,21,12,38
Adrián,ESP,GK,West Ham,Premier League,30,1987,19.0,573,334,239,53,0,28,22,0,0,0,0,0,91,22,460,21,416,0,0,48,258,4,20,6,1
Aritz Aduriz,ESP,FW,Athletic Club,La Liga,36,1981,23.9,505,483,22,1,0,153,6,14,1,0,0,0,295,125,85,47,313,61,6,13,334,2,12,15,22
Ibrahim Afellay,NED,MF,Stoke City,Premier League,31,1986,1.8,81,79,2,0,0,7,2,0,0,0,0,0,68,8,5,18,60,3,0,0,70,0,1,3,0
Benik Afobe,COD,FW,Bournemouth,Premier League,24,1993,6.8,150,136,14,1,0,51,0,0,0,0,0,0,104,33,13,26,94,7,0,7,116,0,4,5,5
Martin Agirregabiria,ESP,DF,Alavés,La Liga,21,1996,20.3,871,697,174,5,1,146,11,32,0,0,0,0,435,207,229,48,569,74,169,5,603,0,34,38,49
Imanol Agirretxe,ESP,FW,Real Sociedad,La Liga,30,1987,2.6,55,54,1,0,0,16,0,0,0,0,0,0,33,11,11,7,38,4,0,0,35,1,3,1,2
Sergio Agüero,ARG,FW,Manchester City,Premier League,29,1988,21.8,643,616,27,0,7,134,3,14,1,0,0,0,491,93,59,73,539,15,3,7,528,3,8,20,22
Ruben Aguilar,FRA,DF,Montpellier,Ligue 1,24,1993,27.3,1478,1191,287,8,0,212,29,83,0,0,0,0,855,201,422,77,1046,72,279,1,1114,11,35,50,55
Matías Aguirregaray,URU,DF,Las Palmas,La Liga,28,1989,12.8,667,557,110,8,1,89,7,16,0,0,0,0,396,81,190,60,475,23,102,3,489,3,18,12,13
Jean-Eudes Aholou,CIV,MF,Strasbourg,Ligue 1,23,1994,33.4,1346,1335,11,10,1,214,34,1,0,0,0,0,1074,90,182,965,267,93,1,2,1147,3,24,23,25
Ailton,BRA,DF,Stuttgart,Bundesliga,22,1995,1.2,62,51,11,3,0,13,3,4,0,0,0,0,37,6,19,46,3,4,8,0,45,0,1,1,3
Youssef Aït Bennasser,MAR,MF,Caen,Ligue 1,21,1996,22.7,1145,1130,15,10,3,202,59,9,2,0,0,0,871,67,207,166,897,71,1,4,938,3,28,24,25
Arlind Ajeti,ALB,DF,Crotone,Serie A,23,1993,14.1,365,355,10,10,1,52,6,1,0,0,0,0,218,50,97,40,280,30,0,3,286,0,12,5,7
Manuel Akanji,SUI,DF,Dortmund,Bundesliga,22,1995,10.0,604,570,34,12,0,73,24,2,0,0,0,0,440,75,89,142,394,34,22,3,521,0,8,8,6
Nathan Aké,NED,DF,Bournemouth,Premier League,22,1995,37.3,1564,1498,66,53,2,163,27,5,0,0,0,0,1159,179,226,1193,188,123,13,5,1339,0,25,26,20
Ager Aketxe,ESP,MF,Athletic Club,La Liga,23,1993,0.4,40,35,5,2,0,2,1,3,3,2,1,0,31,2,7,27,12,1,0,0,30,0,1,2,1
Chadrac Akolo,COD,FW,Stuttgart,Bundesliga,22,1995,12.2,316,308,8,0,1,64,4,18,1,0,1,0,220,54,42,16,272,16,3,2,242,6,0,15,10
Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,22,1995,18.8,1010,967,43,36,1,147,18,6,0,0,0,0,773,113,124,115,843,28,7,2,866,2,18,12,14
David Alaba,AUT,DF,Bayern Munich,Bundesliga,25,1992,17.2,1320,1160,160,7,2,203,21,72,6,0,3,3,905,229,186,999,128,33,147,1,1120,1,10,21,43
Lucas Alario,ARG,FW,Leverkusen,Bundesliga,24,1992,17.2,400,370,30,1,2,94,3,8,0,0,0,0,241,99,60,42,279,33,1,11,302,2,4,4,13
David Alba,ESP,DF,Getafe,La Liga,18,1999,0.7,11,11,0,0,0,2,0,0,0,0,0,0,4,6,1,1,7,3,0,0,6,0,2,1,0
Jordi Alba,ESP,DF,Barcelona,La Liga,28,1989,30.5,2371,2110,261,34,2,349,27,71,2,0,0,0,1795,324,252,1769,312,53,225,5,2042,8,18,55,74
Raúl Albentosa,ESP,DF,La Coruña,La Liga,28,1988,19.4,780,755,25,24,2,105,29,2,0,0,0,0,498,68,214,100,570,89,1,4,600,3,24,11,10
Luis Alberto,ESP,MF,Lazio,Serie A,24,1992,29.7,1824,1568,256,62,15,332,93,53,162,34,25,6,1208,214,402,109,1643,25,23,16,1339,21,30,40,62
Raúl Albiol,ESP,DF,Napoli,Serie A,31,1985,30.5,2510,2474,36,36,2,271,161,3,0,0,0,0,1716,394,400,309,2001,138,0,10,2223,4,37,23,19
Miiko Albornoz,CHI,DF,Hannover 96,Bundesliga,26,1990,7.8,423,330,93,7,0,64,8,16,0,0,0,0,161,141,121,269,40,15,86,4,324,2,10,9,12
