Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Dribbles Succ,Dribbles Att,Dribbles Succ%,Dribbles #Pl,Dribbles Megs,Carries Carries,Carries TotDist,Carries PrgDist,Carries Prog,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Targ,Receiving Rec,Receiving Rec%,Receiving Prog
Patrick van Aanholt,NED,DF,Crystal Palace,Premier League,28,1990,27.9,1839,97,531,883,531,50,1458,18,36,50.0,18,2,1000,5308,2935,158,46,12,21,16,1079,994,92.1,55
Max Aarons,ENG,DF,Norwich City,Premier League,19,2000,36.0,2133,178,804,902,594,52,1821,49,94,52.1,55,2,1321,7912,4384,204,56,23,39,48,1399,1244,88.9,66
Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,31,1987,28.0,1856,254,1133,799,61,27,1782,21,26,80.8,21,0,1201,7286,4031,57,9,0,12,8,1266,1236,97.6,21
Suleiman Abdullahi,NGA,FW,Union Berlin,Bundesliga,22,1996,1.7,62,1,9,22,33,10,62,2,4,50.0,3,1,37,167,92,5,1,2,6,2,77,39,50.6,11
Mehdi Abeid,ALG,MF,Nantes,Ligue 1,26,1992,20.2,1176,22,212,753,283,20,1091,12,22,54.5,12,0,782,3970,1963,70,21,2,14,26,854,759,88.9,42
Charles Abi,FRA,FW,Saint-Étienne,Ligue 1,19,2000,6.9,208,7,18,108,95,23,196,16,21,76.2,16,0,136,574,279,14,0,4,25,12,309,142,46.0,53
David Abraham,ARG,DF,Eint Frankfurt,Bundesliga,33,1986,18.8,1073,108,482,588,86,11,1022,9,11,81.8,11,1,662,3922,2244,73,21,1,6,2,639,619,96.9,8
Tammy Abraham,ENG,FW,Chelsea,Premier League,21,1997,24.6,739,31,59,354,352,165,688,20,35,57.1,21,0,426,1640,834,52,12,14,71,47,1076,495,46.0,214
Amir Abrashi,ALB,MF,Freiburg,Bundesliga,29,1990,7.4,438,21,141,256,64,3,423,7,10,70.0,7,0,291,1344,504,18,7,1,8,8,288,261,90.6,10
Francesco Acerbi,ITA,DF,Lazio,Serie A,31,1988,35.1,2365,370,1206,1158,202,34,2287,15,17,88.2,15,0,1559,11372,6125,161,32,0,8,7,1641,1600,97.5,31
Che Adams,SCO,FW,Southampton,Premier League,23,1996,12.3,441,10,35,204,235,68,433,15,27,55.6,15,1,308,1348,640,37,15,11,44,29,657,315,47.9,137
Tyler Adams,USA,MF,RB Leipzig,Bundesliga,20,1999,10.6,813,20,206,453,196,13,737,6,11,54.5,6,0,501,2365,1076,41,10,1,9,13,602,554,92.0,31
Sargis Adamyan,ARM,FW,Hoffenheim,Bundesliga,26,1993,8.3,309,7,29,134,164,46,297,11,24,45.8,13,0,206,1165,603,28,7,8,25,20,404,212,52.5,92
Antonio Adán,ESP,GK,Atlético Madrid,La Liga,32,1987,0.3,7,4,6,1,0,0,6,0,0,,0,0,2,5,5,0,0,0,0,0,1,1,100.0,0
Bobby Adekanye,NED,FW,Lazio,Serie A,20,1999,2.1,70,0,9,35,30,13,68,4,4,100.0,4,0,54,352,202,9,2,6,5,4,82,50,61.0,17
Claud Adjapong,ITA,DF,Hellas Verona,Serie A,21,1998,2.6,112,14,35,52,37,7,98,1,3,33.3,2,0,66,322,145,6,1,1,5,1,76,63,82.9,12
Amine Adli,FRA,MF,Toulouse,Ligue 1,19,2000,0.5,33,0,3,20,14,1,28,3,4,75.0,3,0,25,176,107,6,0,0,3,1,26,23,88.5,2
Yacine Adli,FRA,MF,Bordeaux,Ligue 1,19,2000,11.3,735,13,73,512,209,13,695,24,42,57.1,28,3,554,2688,1603,92,34,3,27,32,612,549,89.7,57
Adrián,ESP,GK,Liverpool,Premier League,32,1987,9.7,338,302,338,0,0,0,244,0,0,,0,0,163,641,355,0,0,0,0,0,155,154,99.4,0
Aritz Aduriz,ESP,FW,Athletic Club,La Liga,38,1981,2.3,82,2,7,39,39,11,81,2,2,100.0,2,0,33,115,31,1,1,0,4,2,117,64,54.7,22
Lumor Agbenyenu,GHA,DF,Mallorca,La Liga,22,1996,20.1,1182,82,387,538,332,14,964,26,45,57.8,30,0,701,4230,2217,102,34,5,22,18,665,599,90.1,22
Martin Agirregabiria,ESP,DF,Alavés,La Liga,23,1996,23.3,1231,84,397,674,223,9,986,14,26,53.8,16,3,636,2935,1696,64,17,2,20,17,677,608,89.8,21
Lucien Agoume,FRA,MF,Inter,Serie A,17,2002,0.8,48,1,12,25,12,0,48,0,0,,0,0,32,137,49,1,0,0,0,2,31,29,93.5,3
Kevin Agudelo,COL,MF,Fiorentina,Serie A,20,1998,0.7,47,0,9,22,20,2,47,2,2,100.0,2,0,33,205,105,7,1,1,0,2,40,32,80.0,8
Kevin Agudelo,COL,MF,Genoa,Serie A,20,1998,7.4,402,6,82,217,147,20,396,21,33,63.6,23,0,326,2257,1464,61,18,7,12,13,348,285,81.9,28
Nayef Aguerd,MAR,DF,Dijon,Ligue 1,23,1996,10.6,717,94,449,291,13,7,700,1,2,50.0,1,0,453,2046,1040,11,1,0,3,5,477,469,98.3,3
Sergio Agüero,ARG,FW,Manchester City,Premier League,31,1988,16.1,573,2,21,211,383,152,551,27,45,60.0,28,2,428,1745,888,66,20,15,24,41,779,450,57.8,173
Ruben Aguilar,FRA,DF,Monaco,Ligue 1,26,1993,11.9,926,35,225,465,292,22,816,15,26,57.7,17,0,624,2837,1709,84,21,3,8,15,649,601,92.6,39
