Player,Nation,Pos,Squad,Comp,Age,Born,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG
Patrick van Aanholt,NED,DF,Crystal Palace,Premier League,28,1990,27.9,3,26,5,19.2,0.93,0.18,0.08,0.40,21.0,3,1,1,2.4,1.6,0.06,+0.6,+0.4
Max Aarons,ENG,DF,Norwich City,Premier League,19,2000,36.0,0,14,4,28.6,0.39,0.11,0.00,0.00,17.8,0,0,0,0.5,0.5,0.04,-0.5,-0.5
Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,31,1987,28.0,3,19,5,26.3,0.68,0.18,0.16,0.60,14.2,0,0,0,1.4,1.4,0.07,+1.6,+1.6
Suleiman Abdullahi,NGA,FW,Union Berlin,Bundesliga,22,1996,1.7,1,6,3,50.0,3.44,1.72,0.17,0.33,17.2,0,0,0,1.2,1.2,0.21,-0.2,-0.2
Mehdi Abeid,ALG,MF,Nantes,Ligue 1,26,1992,20.2,1,33,7,21.2,1.63,0.35,0.03,0.14,25.0,3,0,0,1.6,1.6,0.05,-0.6,-0.6
Charles Abi,FRA,FW,Saint-Étienne,Ligue 1,19,2000,6.9,0,5,0,0.0,0.72,0.00,0.00,,14.9,0,0,0,0.2,0.2,0.05,-0.2,-0.2
David Abraham,ARG,DF,Eint Frankfurt,Bundesliga,33,1986,18.8,2,7,4,57.1,0.37,0.21,0.29,0.50,7.7,0,0,0,1.4,1.4,0.20,+0.6,+0.6
Tammy Abraham,ENG,FW,Chelsea,Premier League,21,1997,24.6,15,88,35,39.8,3.58,1.42,0.17,0.43,11.1,0,0,0,14.1,14.1,0.16,+0.9,+0.9
Amir Abrashi,ALB,MF,Freiburg,Bundesliga,29,1990,7.4,0,5,2,40.0,0.68,0.27,0.00,0.00,20.2,0,0,0,0.4,0.4,0.07,-0.4,-0.4
Francesco Acerbi,ITA,DF,Lazio,Serie A,31,1988,35.1,2,17,7,41.2,0.48,0.20,0.12,0.29,13.4,0,0,0,2.0,2.0,0.12,0.0,0.0
Che Adams,SCO,FW,Southampton,Premier League,23,1996,12.3,4,37,9,24.3,3.00,0.73,0.11,0.44,15.2,0,0,0,4.1,4.1,0.11,-0.1,-0.1
Tyler Adams,USA,MF,RB Leipzig,Bundesliga,20,1999,10.6,0,7,1,14.3,0.66,0.09,0.00,0.00,17.1,0,0,0,0.4,0.4,0.06,-0.4,-0.4
Sargis Adamyan,ARM,FW,Hoffenheim,Bundesliga,26,1993,8.3,5,20,10,50.0,2.41,1.21,0.25,0.50,11.3,0,0,0,4.1,4.1,0.20,+0.9,+0.9
Antonio Adán,ESP,GK,Atlético Madrid,La Liga,32,1987,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Bobby Adekanye,NED,FW,Lazio,Serie A,20,1999,2.1,1,5,4,80.0,2.39,1.91,0.20,0.25,10.7,0,0,0,1.7,1.7,0.34,-0.7,-0.7
Claud Adjapong,ITA,DF,Hellas Verona,Serie A,21,1998,2.6,0,3,1,33.3,1.17,0.39,0.00,0.00,13.9,0,0,0,0.6,0.6,0.18,-0.6,-0.6
Amine Adli,FRA,MF,Toulouse,Ligue 1,19,2000,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Yacine Adli,FRA,MF,Bordeaux,Ligue 1,19,2000,11.3,3,18,6,33.3,1.59,0.53,0.17,0.50,23.1,1,0,0,0.9,0.9,0.05,+2.1,+2.1
Adrián,ESP,GK,Liverpool,Premier League,32,1987,9.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Aritz Aduriz,ESP,FW,Athletic Club,La Liga,38,1981,2.3,1,6,3,50.0,2.60,1.30,0.17,0.33,13.9,0,0,1,1.3,0.6,0.10,-0.3,+0.4
Lumor Agbenyenu,GHA,DF,Mallorca,La Liga,22,1996,20.1,1,14,2,14.3,0.70,0.10,0.07,0.50,29.9,0,0,0,0.3,0.3,0.02,+0.7,+0.7
Martin Agirregabiria,ESP,DF,Alavés,La Liga,23,1996,23.3,1,3,1,33.3,0.13,0.04,0.33,1.00,24.3,0,0,0,0.9,0.9,0.30,+0.1,+0.1
Lucien Agoume,FRA,MF,Inter,Serie A,17,2002,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Kevin Agudelo,COL,MF,Fiorentina,Serie A,20,1998,0.7,0,4,0,0.0,5.63,0.00,0.00,,20.4,0,0,0,0.3,0.3,0.08,-0.3,-0.3
Kevin Agudelo,COL,MF,Genoa,Serie A,20,1998,7.4,1,10,2,20.0,1.35,0.27,0.10,0.50,16.7,0,0,0,1.1,1.1,0.11,-0.1,-0.1
Nayef Aguerd,MAR,DF,Dijon,Ligue 1,23,1996,10.6,1,5,1,20.0,0.47,0.09,0.20,1.00,18.6,1,0,0,0.7,0.7,0.13,+0.3,+0.3
Sergio Agüero,ARG,FW,Manchester City,Premier League,31,1988,16.1,16,73,25,34.2,4.52,1.55,0.19,0.56,12.9,0,2,3,14.1,11.9,0.16,+1.9,+2.1
Ruben Aguilar,FRA,DF,Monaco,Ligue 1,26,1993,11.9,0,7,3,42.9,0.59,0.25,0.00,0.00,22.7,0,0,0,0.2,0.2,0.02,-0.2,-0.2
Emmanuel Agyemang-Badu,GHA,MF,Hellas Verona,Serie A,28,1990,2.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Jean-Eudes Aholou,CIV,MF,Saint-Étienne,Ligue 1,25,1994,7.0,1,10,4,40.0,1.43,0.57,0.10,0.25,16.7,0,0,0,0.8,0.8,0.08,+0.2,+0.2
Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,23,1995,27.8,0,10,1,10.0,0.36,0.04,0.00,0.00,10.2,0,0,0,0.8,0.8,0.08,-0.8,-0.8
Ola Aina,NGA,DF,Torino,Serie A,22,1996,23.1,0,12,2,16.7,0.52,0.09,0.00,0.00,23.3,0,0,0,0.4,0.4,0.03,-0.4,-0.4
Youssef Aït Bennasser,MAR,MF,Bordeaux,Ligue 1,23,1996,6.0,0,2,0,0.0,0.34,0.00,0.00,,31.6,0,0,0,0.0,0.0,0.01,0.0,0.0
Rayan Aït Nouri,FRA,DF,Angers,Ligue 1,18,2001,14.2,0,4,0,0.0,0.28,0.00,0.00,,17.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2
Albian Ajeti,SUI,MF,West Ham,Premier League,22,1997,1.5,0,3,0,0.0,1.94,0.00,0.00,,14.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Ludovic Ajorque,REU,FW,Strasbourg,Ligue 1,25,1994,22.9,8,44,18,40.9,1.92,0.79,0.16,0.39,13.0,0,1,1,6.2,5.4,0.12,+1.8,+1.6
Manuel Akanji,SUI,DF,Dortmund,Bundesliga,24,1995,25.7,0,10,2,20.0,0.39,0.08,0.00,0.00,19.4,0,0,0,0.8,0.8,0.08,-0.8,-0.8
Marley Aké,FRA,FW,Marseille,Ligue 1,18,2001,1.1,0,3,0,0.0,2.73,0.00,0.00,,21.5,0,0,0,0.2,0.2,0.07,-0.2,-0.2
Nathan Aké,NED,DF,Bournemouth,Premier League,24,1995,27.8,2,24,7,29.2,0.86,0.25,0.08,0.29,9.7,0,0,0,2.4,2.4,0.10,-0.4,-0.4
Chadrac Akolo,COD,FW,Amiens,Ligue 1,24,1995,6.0,2,9,4,44.4,1.49,0.66,0.22,0.50,19.1,0,0,0,1.1,1.1,0.13,+0.9,+0.9
Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,24,1995,12.7,0,2,0,0.0,0.16,0.00,0.00,,18.7,0,0,0,0.1,0.1,0.06,-0.1,-0.1
David Alaba,AUT,DF,Bayern Munich,Bundesliga,27,1992,27.8,1,18,7,38.9,0.65,0.25,0.06,0.14,25.6,6,0,0,0.7,0.7,0.04,+0.3,+0.3
Sofiane Alakouch,MAR,DF,Nîmes,Ligue 1,21,1998,15.6,0,10,4,40.0,0.64,0.26,0.00,0.00,19.7,0,0,0,0.6,0.6,0.06,-0.6,-0.6
Lucas Alario,ARG,FW,Leverkusen,Bundesliga,26,1992,13.0,7,47,18,38.3,3.60,1.38,0.13,0.33,11.7,0,1,1,6.9,6.1,0.13,+0.1,-0.1
Jordi Alba,ESP,DF,Barcelona,La Liga,30,1989,24.3,2,7,3,42.9,0.29,0.12,0.29,0.67,16.0,0,0,0,1.1,1.1,0.15,+0.9,+0.9
