Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types Drib,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types Drib,GCA Types Sh,GCA Types Fld,GCA Types Def
Max Aarons,ENG,DF,Norwich City,Premier League,21,2000,32.0,38,1.19,27,2,3,4,2,0,5,0.16,5,0,0,0,0,0
Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,33,1987,33.1,21,0.63,14,0,3,1,0,3,1,0.03,0,0,1,0,0,0
Salis Abdul Samed,GHA,MF,Clermont Foot,Ligue 1,21,2000,27.4,40,1.46,30,0,0,4,4,2,1,0.04,1,0,0,0,0,0
Laurent Abergel,FRA,MF,Lorient,Ligue 1,28,1993,32.8,66,2.01,49,2,1,1,7,6,5,0.15,4,0,0,0,1,0
Charles Abi,FRA,FW,Saint-Étienne,Ligue 1,21,2000,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Dickson Abiama,NGA,FW,Greuther Fürth,Bundesliga,22,1998,8.1,20,2.48,12,0,0,1,2,5,2,0.25,1,0,0,1,0,0
Matthis Abline,FRA,FW,Rennes,Ligue 1,18,2003,1.1,1,0.87,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Tammy Abraham,ENG,FW,Roma,Serie A,23,1997,34.3,80,2.33,56,1,1,13,6,3,12,0.35,5,0,1,3,3,0
Luis Abram,PER,DF,Granada,La Liga,25,1996,6.2,3,0.48,1,0,0,2,0,0,1,0.16,0,0,0,1,0,0
Francesco Acerbi,ITA,DF,Lazio,Serie A,33,1988,28.2,18,0.64,14,1,0,1,2,0,2,0.07,1,0,0,0,1,0
Ragnar Ache,GER,MF,Eint Frankfurt,Bundesliga,23,1998,2.9,5,1.74,3,0,1,1,0,0,1,0.35,0,0,0,1,0,0
Mohamed Achi,FRA,MF,Nantes,Ligue 1,19,2002,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Marcos Acuña,ARG,DF,Sevilla,La Liga,29,1991,25.1,66,2.63,42,16,1,3,4,0,3,0.12,1,2,0,0,0,0
Che Adams,SCO,FW,Southampton,Premier League,25,1996,22.7,51,2.25,34,0,1,4,11,1,4,0.18,3,0,0,0,0,1
Tyler Adams,USA,MF,RB Leipzig,Bundesliga,22,1999,15.0,25,1.67,23,0,1,1,0,0,4,0.27,4,0,0,0,0,0
Sargis Adamyan,ARM,FW,Hoffenheim,Bundesliga,28,1993,3.7,11,2.99,8,0,2,0,0,1,1,0.27,1,0,0,0,0,0
Martin Adeline,FRA,MF,Reims,Ligue 1,17,2003,3.9,8,2.05,7,0,1,0,0,0,0,0.00,0,0,0,0,0,0
Amine Adli,FRA,FW,Leverkusen,Bundesliga,21,2000,14.0,47,3.37,31,1,3,4,4,4,7,0.50,5,0,0,1,1,0
Yacine Adli,FRA,MF,Bordeaux,Ligue 1,21,2000,25.1,103,4.10,67,20,4,3,6,3,13,0.52,10,2,0,0,1,0
Michel Aebischer,SUI,MF,Bologna,Serie A,24,1997,4.9,9,1.83,7,1,0,0,0,1,0,0.00,0,0,0,0,0,0
Felix Afena-Gyan,GHA,FW,Roma,Serie A,18,2003,7.4,24,3.23,16,0,1,2,4,1,3,0.40,2,0,1,0,0,0
Martin Agirregabiria,ESP,DF,Alavés,La Liga,25,1996,18.0,26,1.45,20,2,1,0,3,0,2,0.11,1,0,1,0,0,0
Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,20,2000,4.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Lucien Agoume,FRA,MF,Brest,Ligue 1,19,2002,20.8,31,1.49,24,1,0,4,2,0,1,0.05,1,0,0,0,0,0
Kevin Agudelo,COL,MF,Spezia,Serie A,22,1998,13.7,38,2.76,19,0,7,2,3,7,3,0.22,1,0,0,0,0,2
Nayef Aguerd,MAR,DF,Rennes,Ligue 1,25,1996,30.4,12,0.39,10,0,0,1,1,0,4,0.13,3,0,0,0,1,0
Sergio Agüero,ARG,FW,Barcelona,La Liga,33,1988,1.7,3,1.79,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ruben Aguilar,FRA,DF,Monaco,Ligue 1,28,1993,23.8,26,1.09,21,1,1,0,2,1,3,0.13,3,0,0,0,0,0
Álvaro Aguirre,ESP,FW,Rayo Vallecano,La Liga,21,2000,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Naouirou Ahamada,FRA,MF,Stuttgart,Bundesliga,19,2002,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Anel Ahmedhodzic,BIH,DF,Bordeaux,Ligue 1,22,1999,15.0,20,1.33,18,0,0,1,0,1,1,0.07,1,0,0,0,0,0
Jean-Eudes Aholou,CIV,MF,Strasbourg,Ligue 1,27,1994,11.2,22,1.97,20,0,1,1,0,0,3,0.27,3,0,0,0,0,0
Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,25,1995,29.3,13,0.44,12,0,0,1,0,0,2,0.07,2,0,0,0,0,0
Ola Aina,NGA,DF,Torino,Serie A,24,1996,16.0,35,2.19,30,2,2,0,1,0,0,0.00,0,0,0,0,0,0
Rayan Aït Nouri,FRA,DF,Wolves,Premier League,20,2001,20.3,44,2.17,26,10,4,0,2,2,6,0.30,4,1,0,0,1,0
Kristoffer Ajer,NOR,DF,Brentford,Premier League,23,1998,22.2,28,1.26,20,4,1,1,1,1,6,0.27,3,1,1,0,1,0
Ludovic Ajorque,REU,FW,Strasbourg,Ligue 1,27,1994,30.4,75,2.47,55,0,2,7,9,2,9,0.30,6,0,0,2,1,0
Manuel Akanji,SUI,DF,Dortmund,Bundesliga,26,1995,25.1,11,0.44,8,1,1,1,0,0,0,0.00,0,0,0,0,0,0
Carlos Akapo,EQG,DF,Cádiz,La Liga,28,1993,20.5,24,1.17,16,1,2,1,3,1,1,0.05,1,0,0,0,0,0
Marley Aké,FRA,MF,Juventus,Serie A,20,2001,0.9,1,1.17,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Nathan Aké,NED,DF,Manchester City,Premier League,26,1995,10.3,3,0.29,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ilias Akhomach,ESP,FW,Barcelona,La Liga,17,2004,1.4,7,5.08,4,0,1,0,2,0,0,0.00,0,0,0,0,0,0
Maghnes Akliouche,FRA,MF,Monaco,Ligue 1,19,2002,0.6,1,1.67,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Paul Akouokou,CIV,MF,Betis,La Liga,23,1997,5.7,6,1.05,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Jean-Daniel Akpa-Akpro,CIV,MF,Lazio,Serie A,28,1992,3.5,2,0.57,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,26,1995,17.0,27,1.59,18,1,3,3,1,1,4,0.24,2,0,0,1,0,1
David Alaba,AUT,DF,Real Madrid,La Liga,29,1992,29.4,46,1.57,37,2,1,4,0,2,8,0.27,7,0,0,1,0,0
Sofiane Alakouch,MAR,DF,Metz,Ligue 1,23,1998,1.8,1,0.57,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Tomás Alarcón,CHI,MF,Cádiz,La Liga,22,1999,15.8,26,1.64,13,11,1,0,0,1,3,0.19,1,2,0,0,0,0
Lucas Alario,ARG,FW,Leverkusen,Bundesliga,28,1992,7.3,25,3.44,16,0,5,1,3,0,4,0.55,3,0,1,0,0,0
Jordi Alba,ESP,DF,Barcelona,La Liga,32,1989,29.4,84,2.86,78,2,1,2,1,0,13,0.44,12,0,0,1,0,0
Josué Albert,GUF,DF,Clermont Foot,Ligue 1,29,1992,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Luis Alberto,ESP,MF,Lazio,Serie A,28,1992,26.1,112,4.28,76,26,2,3,4,1,16,0.61,7,6,1,2,0,0
Raúl Albiol,ESP,DF,Villarreal,La Liga,35,1985,27.4,9,0.33,7,0,0,2,0,0,2,0.07,1,0,0,1,0,0
Marc Albrighton,ENG,FW,Leicester City,Premier League,31,1989,12.6,19,1.51,14,3,0,0,2,0,2,0.16,2,0,0,0,0,0
Paco Alcácer,ESP,FW,Villarreal,La Liga,27,1993,8.7,13,1.49,11,0,1,1,0,0,6,0.69,5,0,1,0,0,0
Thiago Alcántara,ESP,MF,Liverpool,Premier League,30,1991,17.0,61,3.58,52,0,1,5,0,3,6,0.35,6,0,0,0,0,0
Rubén Alcaraz,ESP,MF,Cádiz,La Liga,30,1991,12.3,30,2.44,21,4,1,1,3,0,0,0.00,0,0,0,0,0,0
Omar Alderete,PAR,DF,Valencia,La Liga,24,1996,26.7,11,0.41,10,0,1,0,0,0,2,0.07,2,0,0,0,0,0
Iván Alejo,ESP,MF,Cádiz,La Liga,26,1995,11.8,37,3.13,30,2,3,1,0,1,5,0.42,4,0,1,0,0,0
Doğan Alemdar,TUR,GK,Rennes,Ligue 1,18,2002,12.0,1,0.08,1,0,0,0,0,0,1,0.08,1,0,0,0,0,0
Carles Aleñá,ESP,MF,Getafe,La Liga,23,1998,25.8,52,2.02,42,1,2,3,4,0,4,0.16,4,0,0,0,0,0
Trent Alexander-Arnold,ENG,DF,Liverpool,Premier League,22,1998,31.7,150,4.73,87,52,5,5,1,0,17,0.54,11,5,0,1,0,0
Mircea Alexandru Tirlea,ROU,DF,Alavés,La Liga,21,2000,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Mohamed Ali Cho,FRA,FW,Angers,Ligue 1,17,2004,20.4,39,1.91,22,0,5,2,7,3,7,0.34,4,0,0,2,1,0
Alisson,BRA,GK,Liverpool,Premier League,28,1992,36.0,3,0.08,3,0,0,0,0,0,1,0.03,1,0,0,0,0,0
Allan,BRA,MF,Everton,Premier League,30,1991,24.3,32,1.32,31,0,0,0,1,0,6,0.25,5,0,0,0,1,0
Jim Allevinah,GAB,FW,Clermont Foot,Ligue 1,26,1995,16.5,45,2.72,27,3,8,3,2,2,3,0.18,2,0,0,1,0,0
Dele Alli,ENG,MF,Tottenham,Premier League,25,1996,7.3,8,1.10,5,0,0,0,3,0,1,0.14,0,0,0,0,1,0
Dele Alli,ENG,MF,Everton,Premier League,25,1996,3.8,10,2.66,9,1,0,0,0,0,1,0.27,1,0,0,0,0,0
Miguel Almirón,PAR,MF,Newcastle Utd,Premier League,27,1994,19.1,45,2.36,31,0,3,8,2,1,5,0.26,4,0,1,0,0,0
Marcos Alonso,ESP,DF,Chelsea,Premier League,30,1990,24.1,89,3.70,61,15,4,5,2,2,9,0.37,7,1,0,1,0,0
Giorgio Altare,ITA,DF,Cagliari,Serie A,22,1998,16.3,25,1.53,16,2,0,5,0,2,0,0.00,0,0,0,0,0,0
Hugo Álvarez,ESP,FW,Celta Vigo,La Liga,18,2003,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Yeray Álvarez,ESP,DF,Athletic Club,La Liga,26,1995,20.7,11,0.53,9,0,0,1,0,1,1,0.05,1,0,0,0,0,0
Dani Alves,BRA,DF,Barcelona,La Liga,38,1983,12.2,31,2.54,23,8,0,0,0,0,4,0.33,4,0,0,0,0,0
Steven Alzate,COL,MF,Brighton,Premier League,22,1998,4.5,7,1.56,7,0,0,0,0,0,1,0.22,1,0,0,0,0,0
Ibrahim Amadou,FRA,DF,Metz,Ligue 1,28,1993,9.0,5,0.55,4,0,0,0,1,0,0,0.00,0,0,0,0,0,0
