Player,Nation,Pos,Squad,Comp,Age,Born,90s,Goals GA,Goals PKA,Goals FK,Goals CK,Goals OG,Expected PSxG,Expected PSxG/SoT,Expected PSxG+/-,Expected /90,Launched Cmp,Launched Att,Launched Cmp%,Passes Att,Passes Thr,Passes Launch%,Passes AvgLen,Goal Kicks Att,Goal Kicks Launch%,Goal Kicks AvgLen,Crosses Opp,Crosses Stp,Crosses Stp%,Sweeper #OPA,Sweeper #OPA/90,Sweeper AvgDist
Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,20,2000,4.0,5,0,0,0,0,4.6,0.25,-0.4,-0.10,10,31,32.3,56,10,37.5,36.8,26,38.5,38.3,35,2,5.7,5,1.25,17.3
Doğan Alemdar,TUR,GK,Rennes,Ligue 1,18,2002,12.0,13,1,0,1,0,10.5,0.29,-2.5,-0.21,64,161,39.8,322,53,31.7,33.5,70,84.3,57.7,108,5,4.6,14,1.17,15.2
Alisson,BRA,GK,Liverpool,Premier League,28,1992,36.0,24,0,0,4,1,27.4,0.28,+4.4,+0.12,187,345,54.2,1189,195,22.5,29.9,171,45.6,40.0,221,21,9.5,63,1.75,18.1
Alphonse Areola,FRA,GK,West Ham,Premier League,28,1993,1.0,1,0,0,0,0,1.2,0.39,+0.2,+0.17,8,28,28.6,27,3,66.7,49.7,14,71.4,53.2,13,1,7.7,0,0.00,7.0
Kepa Arrizabalaga,ESP,GK,Chelsea,Premier League,26,1994,4.0,2,0,0,1,0,3.3,0.26,+1.3,+0.34,16,39,41.0,118,28,28.0,30.8,21,28.6,30.2,31,1,3.2,5,1.25,16.2
Sergio Asenjo,ESP,GK,Villarreal,La Liga,32,1989,6.0,9,1,0,1,0,9.1,0.31,+0.1,+0.02,28,64,43.8,166,39,27.1,32.0,56,33.9,36.4,73,5,6.8,8,1.33,14.8
Emil Audero,ITA,GK,Sampdoria,Serie A,24,1997,28.4,48,1,1,5,1,43.0,0.32,-4.0,-0.14,220,506,43.5,785,117,45.7,39.8,214,68.7,49.8,270,25,9.3,12,0.42,13.3
Daniel Bachmann,AUT,GK,Watford,Premier League,27,1994,12.0,28,3,1,4,2,22.9,0.30,-3.1,-0.26,89,226,39.4,270,44,60.7,47.4,87,71.3,52.7,108,3,2.8,8,0.67,13.1
Édgar Badía,ESP,GK,Elche,La Liga,29,1992,24.0,35,7,0,6,0,40.4,0.31,+5.4,+0.22,211,467,45.2,618,100,50.5,39.7,211,73.5,51.7,275,24,8.7,23,0.96,15.8
Nicola Bagnolini,ITA,GK,Bologna,Serie A,17,2004,0.0,0,0,0,0,0,0.1,0.09,+0.1,+2.74,0,4,0.0,3,0,100.0,67.3,1,100.0,60.0,1,0,0.0,0,0.00,
Stefan Bajic,FRA,GK,Saint-Étienne,Ligue 1,19,2001,5.7,13,2,1,0,0,13.4,0.43,+0.4,+0.07,33,86,38.4,141,39,39.7,34.7,44,68.2,50.2,53,1,1.9,9,1.59,15.7
Francesco Bardi,ITA,GK,Bologna,Serie A,29,1992,2.0,2,0,0,0,0,3.3,0.36,+1.3,+0.65,9,25,36.0,37,6,51.4,37.5,13,46.2,38.8,14,2,14.3,0,0.00,10.6
Oliver Baumann,GER,GK,Hoffenheim,Bundesliga,31,1990,33.0,57,2,0,9,1,54.2,0.34,-1.8,-0.05,168,453,37.1,1310,170,30.2,32.4,211,27.5,30.4,273,25,9.2,43,1.30,15.9
Asmir Begović,BIH,GK,Everton,Premier League,34,1987,3.0,8,1,0,3,1,5.5,0.27,-1.5,-0.50,21,68,30.9,53,4,79.2,54.2,31,83.9,58.1,23,3,13.0,0,0.00,12.9
Vid Belec,SVN,GK,Salernitana,Serie A,31,1990,21.5,49,3,0,6,2,39.3,0.28,-7.7,-0.36,151,354,42.7,400,77,55.5,44.2,179,73.7,52.9,214,10,4.7,8,0.37,12.8
Walter Benítez,ARG,GK,Nice,Ligue 1,28,1993,37.0,35,4,1,1,0,39.8,0.26,+4.8,+0.13,172,423,40.7,771,162,35.7,33.9,260,56.9,44.7,313,15,4.8,22,0.59,14.2
Alessandro Berardi,ITA,GK,Hellas Verona,Serie A,30,1991,1.0,3,0,0,0,0,2.7,0.46,-0.3,-0.26,5,20,25.0,23,5,56.5,43.3,7,100.0,58.7,4,0,0.0,0,0.00,12.2
Etrit Berisha,ALB,GK,Torino,Serie A,32,1989,10.0,8,2,0,0,0,10.3,0.22,+2.3,+0.23,52,197,26.4,243,38,54.3,43.8,77,84.4,60.5,83,8,9.6,6,0.60,14.5
Paul Bernardoni,FRA,GK,Saint-Étienne,Ligue 1,24,1997,19.0,33,5,1,5,2,31.9,0.32,-3.1,-0.16,99,333,29.7,441,117,52.8,41.2,137,73.0,52.3,140,17,12.1,31,1.63,16.2
Paul Bernardoni,FRA,GK,Angers,Ligue 1,24,1997,13.0,19,3,2,6,0,14.2,0.27,-4.8,-0.37,55,122,45.1,239,82,32.6,35.2,98,44.9,40.5,134,17,12.7,7,0.54,14.5
Dimitry Bertaud,FRA,GK,Montpellier,Ligue 1,23,1998,9.3,20,2,1,2,1,18.4,0.31,-0.6,-0.06,54,145,37.2,228,56,44.7,38.6,84,51.2,42.1,85,10,11.8,4,0.43,13.4
Marco Bizot,NED,GK,Brest,Ligue 1,30,1991,38.0,57,4,0,10,2,49.0,0.28,-6.0,-0.16,319,671,47.5,874,193,48.5,41.1,327,75.5,56.0,310,21,6.8,24,0.63,14.5
Yassine Bounou,MAR,GK,Sevilla,La Liga,30,1991,31.0,24,2,2,6,0,28.8,0.27,+4.8,+0.15,187,429,43.6,832,110,34.9,35.8,240,57.9,46.1,244,20,8.2,16,0.52,14.2
Claudio Bravo,CHI,GK,Betis,La Liga,38,1983,16.2,19,1,0,1,2,19.9,0.35,+2.9,+0.18,114,286,39.9,409,51,54.3,44.3,98,65.3,51.1,164,4,2.4,8,0.49,13.4
Fabian Bredlow,GER,GK,Stuttgart,Bundesliga,26,1995,4.0,7,0,0,3,0,6.9,0.29,-0.1,-0.01,12,24,50.0,90,22,23.3,28.7,37,8.1,19.9,38,1,2.6,4,1.00,16.0
Marcin Bułka,POL,GK,Nice,Ligue 1,21,1999,1.0,1,0,0,0,0,1.5,0.29,+0.5,+0.47,3,4,75.0,16,6,12.5,20.4,7,28.6,25.9,10,0,0.0,0,0.00,18.5
Sascha Burchert,GER,GK,Greuther Fürth,Bundesliga,31,1989,14.0,28,3,1,4,2,22.4,0.30,-3.6,-0.25,127,346,36.7,439,45,56.9,45.6,116,82.8,57.8,141,8,5.7,19,1.36,16.6
Roman Bürki,SUI,GK,Dortmund,Bundesliga,30,1990,1.0,1,1,0,0,0,0.9,,-0.1,-0.06,2,9,22.2,20,3,35.0,33.2,3,66.7,44.3,3,0,0.0,1,1.00,19.4
Jack Butland,ENG,GK,Crystal Palace,Premier League,28,1993,8.5,13,0,1,1,2,11.1,0.37,+0.1,+0.01,33,104,31.7,213,35,32.4,31.9,66,53.0,43.7,82,5,6.1,6,0.71,13.6
Willy Caballero,ARG,GK,Southampton,Premier League,39,1981,2.0,5,0,0,1,0,4.3,0.40,-0.7,-0.36,20,39,51.3,46,0,58.7,42.1,13,92.3,59.1,21,1,4.8,4,2.00,21.7
Marc-Aurèle Caillard,FRA,GK,Metz,Ligue 1,27,1994,17.1,30,2,0,8,0,30.1,0.34,+0.1,0.00,114,294,38.8,298,87,50.0,43.3,163,89.0,62.7,142,5,3.5,8,0.47,14.1
Cárdenas,ESP,GK,Levante,La Liga,24,1997,24.0,46,4,1,7,0,41.7,0.33,-4.3,-0.18,113,326,34.7,526,83,46.2,40.1,193,43.0,38.7,235,12,5.1,15,0.63,13.9
Kiko Casilla,ESP,GK,Elche,La Liga,34,1986,14.0,17,0,0,1,0,16.0,0.27,-1.0,-0.07,96,249,38.6,346,73,50.3,40.4,135,55.6,43.7,130,7,5.4,11,0.79,15.4
Koen Casteels,BEL,GK,Wolfsburg,Bundesliga,29,1992,28.0,40,3,0,4,0,40.3,0.33,+0.3,+0.01,216,436,49.5,881,133,37.7,35.6,201,51.7,44.0,250,18,7.2,21,0.75,13.9
Leonardo César Jardim,BRA,GK,Lille,Ligue 1,26,1995,17.0,20,4,0,3,1,16.0,0.21,-3.0,-0.18,79,231,34.2,310,66,48.1,39.3,125,65.6,50.7,140,9,6.4,13,0.76,15.4
Jasper Cillessen,NED,GK,Valencia,La Liga,32,1989,16.2,29,5,0,4,2,29.0,0.36,+2.0,+0.12,112,260,43.1,347,69,53.9,45.3,99,73.7,57.0,122,11,9.0,8,0.49,15.3
Diego Conde,ESP,GK,Getafe,La Liga,22,1998,0.1,0,0,0,0,0,0.0,,0.0,0.00,0,6,0.0,4,0,100.0,65.3,2,100.0,68.5,2,0,0.0,0,0.00,
Andrea Consigli,ITA,GK,Sassuolo,Serie A,34,1987,36.9,63,8,0,10,1,61.7,0.34,-0.3,-0.01,259,543,47.7,1214,159,37.0,34.5,252,37.3,31.7,331,20,6.0,23,0.62,13.3
Benoît Costil,FRA,GK,Bordeaux,Ligue 1,34,1987,25.0,62,5,1,6,1,47.9,0.34,-13.1,-0.52,217,482,45.0,682,75,48.2,39.8,217,70.5,51.2,196,13,6.6,26,1.04,16.9
Thibaut Courtois,BEL,GK,Real Madrid,La Liga,29,1992,36.0,29,2,1,2,0,33.4,0.27,+4.4,+0.12,114,306,37.3,929,188,23.5,31.2,210,41.9,39.1,312,27,8.7,21,0.58,14.2
Alessio Cragno,ITA,GK,Cagliari,Serie A,27,1994,35.0,63,6,4,10,1,61.0,0.33,-1.0,-0.03,335,765,43.8,899,111,59.5,44.0,315,73.0,50.8,293,22,7.5,19,0.54,14.9
Finn Dahmen,GER,GK,Mainz 05,Bundesliga,23,1998,2.0,3,1,0,0,0,2.3,0.39,-0.7,-0.34,4,18,22.2,60,9,21.7,29.8,20,25.0,30.9,12,2,16.7,1,0.50,16.0
Karl Darlow,ENG,GK,Newcastle Utd,Premier League,30,1990,8.0,15,2,0,1,1,10.6,0.24,-3.4,-0.42,75,172,43.6,189,29,64.6,49.8,64,78.1,59.8,69,8,11.6,4,0.50,14.9
Arthur Desmas,FRA,GK,Clermont Foot,Ligue 1,27,1994,14.5,33,3,0,4,1,23.9,0.34,-8.1,-0.56,39,146,26.7,302,53,31.8,33.8,112,44.6,36.8,87,3,3.4,5,0.35,12.3
Javier Díaz,ESP,GK,Sevilla,La Liga,24,1997,1.0,1,0,0,0,0,0.3,0.15,-0.7,-0.70,5,10,50.0,30,2,26.7,31.9,3,66.7,50.3,12,1,8.3,1,1.00,25.0
Stole Dimitrievski,MKD,GK,Rayo Vallecano,La Liga,27,1993,30.8,37,7,0,5,1,39.0,0.27,+3.0,+0.10,207,611,33.9,726,148,59.8,47.5,229,77.3,58.1,251,24,9.6,17,0.55,12.9
Matías Dituro,ARG,GK,Celta Vigo,La Liga,34,1987,38.0,43,4,0,1,2,46.6,0.31,+5.6,+0.15,349,859,40.6,1177,129,55.1,44.5,283,74.2,56.0,299,44,14.7,33,0.87,15.6
Ouparine Djoco,SEN,GK,Clermont Foot,Ligue 1,23,1998,23.5,36,2,0,7,2,30.2,0.30,-3.8,-0.16,116,342,33.9,579,104,42.7,37.3,155,61.3,43.8,184,15,8.2,18,0.77,14.6
Marko Dmitrović,SRB,GK,Sevilla,La Liga,29,1992,6.0,5,0,0,0,0,5.3,0.30,+0.3,+0.04,28,63,44.4,191,25,26.7,32.3,33,36.4,36.6,51,4,7.8,9,1.50,17.2
Jaume Doménech,ESP,GK,Valencia,La Liga,30,1990,3.8,4,0,0,1,1,4.8,0.43,+1.8,+0.47,39,79,49.4,75,8,72.0,48.1,32,78.1,56.0,40,3,7.5,1,0.26,10.5
Gianluigi Donnarumma,ITA,GK,Paris S-G,Ligue 1,22,1999,17.0,17,1,0,3,1,17.5,0.28,+1.5,+0.09,40,72,55.6,368,102,14.4,24.1,99,19.2,23.7,110,6,5.5,22,1.29,17.2
Bartłomiej Drągowski,POL,GK,Fiorentina,Serie A,23,1997,6.2,8,1,0,1,0,8.3,0.28,+0.3,+0.05,53,119,44.5,305,23,33.1,33.9,39,46.2,43.6,31,5,16.1,13,2.10,17.7
Matthieu Dreyer,FRA,GK,Lorient,Ligue 1,32,1989,16.0,25,1,0,2,0,18.9,0.32,-6.1,-0.38,85,229,37.1,287,44,45.6,39.9,134,73.1,50.8,146,7,4.8,5,0.31,13.4
Martin Dúbravka,SVK,GK,Newcastle Utd,Premier League,32,1989,26.0,35,1,0,7,1,38.1,0.36,+4.1,+0.16,222,524,42.4,608,86,50.0,41.1,237,92.8,64.8,211,17,8.1,9,0.35,12.7
Ederson,BRA,GK,Manchester City,Premier League,27,1993,37.0,26,1,0,1,0,24.8,0.29,-1.2,-0.03,155,262,59.2,951,151,24.0,30.0,138,24.6,31.6,181,16,8.8,34,0.92,17.2
Aarón Escandell,ESP,GK,Granada,La Liga,25,1995,3.2,6,2,0,0,0,4.2,0.19,-1.8,-0.58,39,89,43.8,88,13,68.2,48.1,37,78.4,54.3,26,2,7.7,7,2.22,14.5
Michael Esser,GER,GK,Bochum,Bundesliga,33,1987,3.0,7,2,0,1,0,6.1,0.25,-0.9,-0.31,22,74,29.7,104,9,50.0,40.3,30,73.3,48.9,29,0,0.0,1,0.33,11.3
Łukasz Fabiański,POL,GK,West Ham,Premier League,36,1985,37.0,50,2,1,11,2,52.8,0.32,+4.8,+0.13,241,602,40.0,726,145,55.8,44.1,280,70.4,52.9,344,14,4.1,9,0.24,11.8
Wladimiro Falcone,ITA,GK,Sampdoria,Serie A,26,1995,9.5,14,1,0,0,1,15.7,0.28,+2.7,+0.29,65,168,38.7,284,44,40.5,36.7,74,71.6,49.1,108,9,8.3,1,0.11,11.9
Wuilker Faríñez,VEN,GK,Lens,Ligue 1,23,1998,12.3,15,1,0,1,0,11.4,0.25,-3.6,-0.29,34,95,35.8,222,59,35.6,32.6,81,19.8,25.1,98,3,3.1,13,1.06,15.0
Aitor Fernández,ESP,GK,Levante,La Liga,30,1991,13.0,29,1,0,8,0,24.9,0.29,-4.1,-0.32,73,174,42.0,290,62,46.2,40.2,91,44.0,36.4,111,5,4.5,11,0.85,16.3
Álvaro Fernández,ESP,GK,Brentford,Premier League,23,1998,12.0,24,1,0,5,2,25.2,0.36,+3.2,+0.27,82,247,33.2,417,56,48.0,38.6,83,56.6,41.0,123,7,5.7,10,0.83,14.3
Vincenzo Fiorillo,ITA,GK,Salernitana,Serie A,31,1990,1.0,5,0,0,1,0,2.6,0.33,-2.4,-2.38,11,19,57.9,20,4,50.0,41.3,11,81.8,53.3,7,1,14.3,0,0.00,10.0
Mark Flekken,NED,GK,Freiburg,Bundesliga,28,1993,32.0,39,2,1,3,1,38.4,0.27,+0.4,+0.01,291,698,41.7,1094,116,47.0,42.6,241,76.3,62.8,290,18,6.2,30,0.94,15.7
Fraser Forster,ENG,GK,Southampton,Premier League,33,1988,19.0,35,2,0,5,2,31.8,0.31,-1.2,-0.06,123,358,34.4,455,68,54.9,44.8,141,76.6,54.3,176,18,10.2,14,0.74,13.8
Ben Foster,ENG,GK,Watford,Premier League,38,1983,26.0,49,3,0,4,1,43.4,0.36,-4.6,-0.18,227,666,34.1,644,70,71.3,51.4,225,92.0,65.2,265,16,6.0,24,0.92,15.1
Christian Früchtl,GER,GK,Bayern Munich,Bundesliga,21,2000,0.1,0,0,0,0,0,0.0,,0.0,0.00,0,0,,3,0,0.0,22.3,0,,,0,0,,0,0.00,16.0
Marius Funk,GER,GK,Greuther Fürth,Bundesliga,25,1996,8.0,30,2,0,4,2,24.4,0.44,-3.6,-0.46,70,193,36.3,293,28,49.5,42.1,69,69.6,53.8,51,3,5.9,12,1.50,17.0
Gauthier Gallon,FRA,GK,Troyes,Ligue 1,28,1993,31.0,45,8,1,8,2,40.4,0.26,-2.6,-0.08,217,512,42.4,815,155,45.3,38.3,246,58.1,42.9,283,19,6.7,16,0.52,13.0
Joan García,ESP,GK,Espanyol,La Liga,20,2001,1.2,3,0,0,0,0,1.2,0.39,-1.8,-1.53,4,12,33.3,31,9,32.3,31.4,2,100.0,71.5,11,2,18.2,2,1.67,18.6
David de Gea,ESP,GK,Manchester Utd,Premier League,30,1990,38.0,57,3,0,7,3,60.7,0.33,+6.7,+0.18,139,379,36.7,614,124,37.0,35.2,297,51.2,42.4,306,10,3.3,9,0.24,13.6
Luca Gemello,ITA,GK,Torino,Serie A,21,2000,1.0,0,0,0,0,0,0.8,0.20,+0.8,+0.80,9,28,32.1,31,1,80.6,51.8,3,100.0,60.7,4,0,0.0,0,0.00,12.0
Rafał Gikiewicz,POL,GK,Augsburg,Bundesliga,33,1987,34.0,56,5,1,3,2,52.5,0.32,-1.5,-0.04,261,655,39.8,955,141,48.8,40.5,285,66.3,50.6,308,20,6.5,34,1.00,15.9
Alfred Gomis,SEN,GK,Rennes,Ligue 1,27,1993,25.0,25,4,0,4,1,22.9,0.33,-1.1,-0.04,155,333,46.5,630,115,36.2,34.4,151,69.5,51.9,239,16,6.7,16,0.64,14.7
