Player,Nation,Pos,Squad,Comp,Age,Born,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Long Ast,Long xA,Long A-xA,Long KP,Long 1/3,Long PPA,Long CrsPA,Long Prog
Max Aarons,ENG,DF,Norwich City,Premier League,21,2000,32.0,1087,1440,75.5,18371,6874,560,622,90.0,419,544,77.0,98,217,45.2,2,1.4,+0.6,19,50,36,8,94
Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,33,1987,33.1,1281,1555,82.4,27665,9529,339,377,89.9,740,828,89.4,187,303,61.7,0,0.8,-0.8,8,81,6,0,90
Salis Abdul Samed,GHA,MF,Clermont Foot,Ligue 1,21,2000,27.4,1532,1671,91.7,28312,5052,616,659,93.5,708,746,94.9,184,214,86.0,0,1.1,-1.1,15,77,13,1,81
Laurent Abergel,FRA,MF,Lorient,Ligue 1,28,1993,32.8,1334,1635,81.6,25609,6758,534,603,88.6,566,644,87.9,205,308,66.6,2,2.9,-0.9,30,127,19,6,137
Charles Abi,FRA,FW,Saint-Étienne,Ligue 1,21,2000,0.5,2,6,33.3,24,0,1,2,50.0,1,3,33.3,0,0,,0,0.0,0.0,0,0,0,0,0
Dickson Abiama,NGA,FW,Greuther Fürth,Bundesliga,22,1998,8.1,90,139,64.7,1296,330,54,78,69.2,25,38,65.8,5,10,50.0,1,1.1,-0.1,8,7,6,0,13
Matthis Abline,FRA,FW,Rennes,Ligue 1,18,2003,1.1,8,10,80.0,100,22,4,6,66.7,4,4,100.0,0,0,,0,0.0,0.0,1,1,1,0,1
Tammy Abraham,ENG,FW,Roma,Serie A,23,1997,34.3,500,694,72.0,7714,1755,298,391,76.2,139,201,69.2,44,55,80.0,4,3.6,+0.4,35,37,28,4,61
Luis Abram,PER,DF,Granada,La Liga,25,1996,6.2,194,220,88.2,4320,1153,42,46,91.3,115,124,92.7,36,48,75.0,0,0.0,0.0,0,8,0,0,9
Francesco Acerbi,ITA,DF,Lazio,Serie A,33,1988,28.2,1812,2006,90.3,37942,11558,567,609,93.1,940,996,94.4,280,363,77.1,0,0.4,-0.4,6,122,6,0,88
Ragnar Ache,GER,MF,Eint Frankfurt,Bundesliga,23,1998,2.9,42,71,59.2,607,127,22,35,62.9,17,27,63.0,1,3,33.3,1,0.3,+0.7,2,3,2,2,3
Mohamed Achi,FRA,MF,Nantes,Ligue 1,19,2002,0.1,3,5,60.0,49,0,1,1,100.0,2,2,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0
Marcos Acuña,ARG,DF,Sevilla,La Liga,29,1991,25.1,1564,1971,79.4,32212,11965,591,635,93.1,682,803,84.9,275,474,58.0,3,3.0,0.0,41,103,42,23,123
Che Adams,SCO,FW,Southampton,Premier League,25,1996,22.7,337,484,69.6,5275,1087,187,240,77.9,101,135,74.8,30,53,56.6,3,2.6,+0.4,26,22,13,1,35
Tyler Adams,USA,MF,RB Leipzig,Bundesliga,22,1999,15.0,792,914,86.7,13102,3265,397,435,91.3,299,333,89.8,73,101,72.3,1,0.8,+0.2,8,74,10,0,62
Sargis Adamyan,ARM,FW,Hoffenheim,Bundesliga,28,1993,3.7,73,98,74.5,1154,299,38,45,84.4,29,38,76.3,5,8,62.5,0,0.7,-0.7,4,5,4,2,9
Martin Adeline,FRA,MF,Reims,Ligue 1,17,2003,3.9,107,146,73.3,1847,555,44,55,80.0,48,60,80.0,9,15,60.0,0,0.4,-0.4,3,10,2,0,11
Amine Adli,FRA,FW,Leverkusen,Bundesliga,21,2000,14.0,392,520,75.4,5845,1714,217,258,84.1,148,197,75.1,14,31,45.2,2,1.8,+0.2,13,30,16,8,40
Yacine Adli,FRA,MF,Bordeaux,Ligue 1,21,2000,25.1,910,1237,73.6,19345,6364,360,426,84.5,352,432,81.5,188,331,56.8,7,5.5,+1.5,57,112,39,4,148
Michel Aebischer,SUI,MF,Bologna,Serie A,24,1997,4.9,216,243,88.9,3626,926,104,109,95.4,84,93,90.3,18,27,66.7,0,0.4,-0.4,6,10,5,1,16
Felix Afena-Gyan,GHA,FW,Roma,Serie A,18,2003,7.4,125,164,76.2,1829,264,73,90,81.1,42,52,80.8,5,9,55.6,0,0.2,-0.2,5,3,6,2,10
Martin Agirregabiria,ESP,DF,Alavés,La Liga,25,1996,18.0,563,788,71.4,10437,5352,234,282,83.0,268,350,76.6,58,135,43.0,1,1.0,0.0,14,50,19,11,55
Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,20,2000,4.0,61,82,74.4,1695,1037,14,14,100.0,30,30,100.0,16,37,43.2,0,0.0,0.0,0,1,0,0,0
Lucien Agoume,FRA,MF,Brest,Ligue 1,19,2002,20.8,828,981,84.4,15860,4119,345,393,87.8,327,370,88.4,134,168,79.8,0,0.4,-0.4,11,68,11,0,78
Kevin Agudelo,COL,MF,Spezia,Serie A,22,1998,13.7,284,385,73.8,4222,1221,154,187,82.4,111,138,80.4,9,25,36.0,1,0.8,+0.2,10,27,13,3,37
Nayef Aguerd,MAR,DF,Rennes,Ligue 1,25,1996,30.4,1956,2174,90.0,45056,14662,485,519,93.4,1011,1059,95.5,450,574,78.4,2,0.4,+1.6,3,111,2,0,89
Sergio Agüero,ARG,FW,Barcelona,La Liga,33,1988,1.7,31,43,72.1,469,43,18,25,72.0,10,15,66.7,2,2,100.0,0,0.3,-0.3,1,2,0,0,2
Ruben Aguilar,FRA,DF,Monaco,Ligue 1,28,1993,23.8,1438,1715,83.8,25168,9876,679,736,92.3,635,730,87.0,112,204,54.9,2,0.8,+1.2,12,130,34,6,153
Álvaro Aguirre,ESP,FW,Rayo Vallecano,La Liga,21,2000,0.1,2,2,100.0,24,0,2,2,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0
Naouirou Ahamada,FRA,MF,Stuttgart,Bundesliga,19,2002,0.7,30,34,88.2,567,86,13,15,86.7,9,10,90.0,6,7,85.7,0,0.0,0.0,0,0,0,0,1
Anel Ahmedhodzic,BIH,DF,Bordeaux,Ligue 1,22,1999,15.0,770,869,88.6,15421,4630,287,303,94.7,364,398,91.5,113,152,74.3,1,0.7,+0.3,10,31,6,2,56
Jean-Eudes Aholou,CIV,MF,Strasbourg,Ligue 1,27,1994,11.2,348,411,84.7,5513,1046,174,190,91.6,134,153,87.6,27,45,60.0,1,1.1,-0.1,7,21,8,1,27
Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,25,1995,29.3,1263,1523,82.9,29021,8209,297,337,88.1,650,726,89.5,301,432,69.7,0,0.1,-0.1,3,100,7,1,99
Ola Aina,NGA,DF,Torino,Serie A,24,1996,16.0,546,757,72.1,9656,4260,258,298,86.6,217,280,77.5,62,135,45.9,0,1.4,-1.4,17,42,21,5,67
Rayan Aït Nouri,FRA,DF,Wolves,Premier League,20,2001,20.3,754,1003,75.2,13088,4592,385,420,91.7,288,366,78.7,76,174,43.7,2,1.3,+0.7,17,29,15,9,49
Kristoffer Ajer,NOR,DF,Brentford,Premier League,23,1998,22.2,629,873,72.1,11601,5267,245,296,82.8,295,370,79.7,74,153,48.4,3,1.4,+1.6,6,48,10,1,75
