Country,FIFA,ISO,latitude,longitude,Count,Continent
Albania,ALB,ALB,41.153332,20.168331,14,Europe
Algeria,ALG,DZA,28.033886,1.659626,29,Africa
Angola,ANG,AGO,-11.202692,17.873887,4,Africa
Argentina,ARG,ARG,-38.416097,-63.616672,73,South America
Armenia,ARM,ARM,40.069099,45.038189,3,Asia
Australia,AUS,AUS,-25.274398,133.775136,2,Oceania
Austria,AUT,AUT,47.516231,14.550072,36,Europe
Belgium,BEL,BEL,50.503887,4.469936,42,Europe
Benin,BEN,BEN,9.30769,2.315834,3,Africa
Burkina Faso,BFA,BFA,12.238333,-1.561593,4,Africa
Bosnia and Herzegovina,BIH,BIH,43.915886,17.679076,12,Europe
Brazil,BRA,BRA,-14.235004,-51.92528,104,South America
Bulgaria,BUL,BGR,42.733883,25.48583,1,Europe
Canada,CAN,CAN,56.130366,-106.346771,4,North America
"Congo, Republic of the",CGO,COG,-0.228021,15.827659,3,Africa
Chad,CHA,TCD,15.454166,18.732207,1,Africa
Chile,CHI,CHL,-35.675147,-71.542969,11,South America
"China, Peoples Republic of",CHN,CHN,35.86166,104.195397,1,Asia
Ivory Coast,CIV,CIV,7.539989,-5.54708,33,Africa
Cameroon,CMR,CMR,7.369722,12.354722,24,Africa
"Congo, Democratic Republic of the",COD,COD,-4.038333,21.758664,8,Africa
Colombia,COL,COL,4.570868,-74.297333,21,South America
Cape Verde,CPV,CPV,16.002082,-24.013197,4,Africa
Costa Rica,CRC,CRI,9.748917,-83.753428,3,North America
Croatia,CRO,HRV,45.1,15.2,37,Europe
Central African Republic,CTA,CAF,6.611111,20.939444,2,Africa
Cyprus,CYP,CYP,35.126413,33.429859,1,Europe
Czech Republic,CZE,CZE,49.817492,15.472962,13,Europe
Denmark,DEN,DNK,56.26392,9.501785,42,Europe
Dominican Republic,DOM,DOM,18.735693,-70.162651,2,North America
Ecuador,ECU,ECU,-1.831239,-78.183406,7,South America
Egypt,EGY,EGY,26.820553,30.802498,5,Africa
England,ENG,GB-ENG,52.177943,-1.605872,216,Europe
Equatorial Guinea,EQG,GNQ,1.650801,10.267895,3,Africa
Spain,ESP,ESP,40.463667,-3.74922,436,Europe
Finland,FIN,FIN,61.92411,25.748151,8,Europe
France,FRA,FRA,46.227638,2.213749,388,Europe
Gabon,GAB,GAB,-0.803689,11.609444,5,Africa
Gambia,GAM,GMB,13.443182,-15.310139,4,Africa
Georgia,GEO,GEO,42.315407,43.356892,2,Asia
Germany,GER,DEU,51.165691,10.451526,251,Europe
Ghana,GHA,GHA,7.946527,-1.023194,25,Africa
Guadeloupe,GLP,GLP,16.995971,-62.067641,1,North America
GuineaBissau,GNB,GNB,11.803749,-15.180413,5,Africa
Greece,GRE,GRC,39.074208,21.824312,17,Europe
Grenada,GRN,GRD,12.262776,-61.604171,1,North America
French Guiana,GUF,GUF,3.933889,-53.125782,2,South America
Guinea,GUI,GIN,9.945587,-9.696645,11,Africa
Honduras,HON,HND,15.199999,-86.241905,2,North America
Hungary,HUN,HUN,47.162494,19.503304,7,Europe
Ireland,IRL,IRL,53.41291,-8.24389,15,Europe
Iran,IRN,IRN,32.427908,53.688046,2,Asia
Iceland,ISL,ISL,64.963051,-19.020835,6,Europe
Israel,ISR,ISR,31.046051,34.851612,3,Asia
Italy,ITA,ITA,41.87194,12.56738,257,Europe
Jamaica,JAM,JAM,18.109581,-77.297508,3,North America
Japan,JPN,JPN,36.204824,138.252924,14,Asia
South Korea,KOR,KOR,35.907757,127.766922,9,Asia
