Country,FIFA,ISO,latitude,longitude
Afghanistan,AFG,AFG,33.93911,67.709953
Albania,ALB,ALB,41.153332,20.168331
Algeria,ALG,DZA,28.033886,1.659626
American Samoa,ASA,ASM,-14.270972,-170.132217
Andorra,AND,AND,42.546245,1.601554
Angola,ANG,AGO,-11.202692,17.873887
Anguilla,AIA,AIA,18.220554,-63.068615
Antigua and Barbuda,ATG,ATG,17.060816,-61.796428
Argentina,ARG,ARG,-38.416097,-63.616672
Armenia,ARM,ARM,40.069099,45.038189
Aruba,ARU,ABW,12.52111,-69.968338
Australia,AUS,AUS,-25.274398,133.775136
Austria,AUT,AUT,47.516231,14.550072
Azerbaijan,AZE,AZE,40.143105,47.576927
The Bahamas,BAH,BHS,25.03428,-77.39628
Bahrain,BHR,BHR,25.930414,50.637772
Bangladesh,BAN,BGD,23.684994,90.356331
Barbados,BRB,BRB,13.193887,-59.543198
Belarus,BLR,BLR,53.709807,27.953389
Belgium,BEL,BEL,50.503887,4.469936
Belize,BLZ,BLZ,17.189877,-88.49765
Benin,BEN,BEN,9.30769,2.315834
Bermuda,BER,BMU,32.321384,-64.75737
Bhutan,BHU,BTN,27.514162,90.433601
Bolivia,BOL,BOL,-16.290154,-63.588653
Bosnia and Herzegovina,BIH,BIH,43.915886,17.679076
Botswana,BOT,BWA,-22.328474,24.684866
Brazil,BRA,BRA,-14.235004,-51.92528
British Virgin Islands,VGB,VGB,18.420695,-64.639968
Brunei,BRU,BRN,4.535277,114.727669
Bulgaria,BUL,BGR,42.733883,25.48583
Burkina Faso,BFA,BFA,12.238333,-1.561593
Burundi,BDI,BDI,-3.373056,29.918886
Cambodia,CAM,KHM,12.565679,104.990963
Cameroon,CMR,CMR,7.369722,12.354722
Canada,CAN,CAN,56.130366,-106.346771
Cape Verde,CPV,CPV,16.002082,-24.013197
Cayman Islands,CAY,CYM,19.513469,-80.566956
Central African Republic,CTA,CAF,6.611111,20.939444
Chad,CHA,TCD,15.454166,18.732207
Chile,CHI,CHL,-35.675147,-71.542969
"China, Peoples Republic of",CHN,CHN,35.86166,104.195397
Colombia,COL,COL,4.570868,-74.297333
Comoros,COM,COM,-11.875001,43.872219
"Congo, Democratic Republic of the",COD,COD,-4.038333,21.758664
"Congo, Republic of the",CGO,COG,-0.228021,15.827659
Cook Islands,COK,COK,-21.236736,-159.777671
Costa Rica,CRC,CRI,9.748917,-83.753428
Ivory Coast,CIV,CIV,7.539989,-5.54708
Croatia,CRO,HRV,45.1,15.2
Cuba,CUB,CUB,21.521757,-77.781167
Curacao,CUW,CUW,12.180859,-69.013055
Cyprus,CYP,CYP,35.126413,33.429859
Czech Republic,CZE,CZE,49.817492,15.472962
Denmark,DEN,DNK,56.26392,9.501785
Djibouti,DJI,DJI,11.825138,42.590275
Dominica,DMA,DMA,15.414999,-61.370976
Dominican Republic,DOM,DOM,18.735693,-70.162651
Ecuador,ECU,ECU,-1.831239,-78.183406
Egypt,EGY,EGY,26.820553,30.802498
El Salvador,SLV,SLV,13.794185,-88.89653
England,ENG,GB-ENG,52.177943,-1.605872
Equatorial Guinea,EQG,GNQ,1.650801,10.267895
Eritrea,ERI,ERI,15.179384,39.782334
Estonia,EST,EST,58.595272,25.013607
Eswatini,SWZ,SWZ,-26.522503,31.465866
Ethiopia,ETH,ETH,9.145,40.489673
Faroe Islands,FRO,FRO,61.892635,-6.911806
Fiji,FIJ,FJI,-16.578193,179.414413
Finland,FIN,FIN,61.92411,25.748151
France,FRA,FRA,46.227638,2.213749
French Polynesia,TAH,PYF,-17.679742,-149.406843
Gabon,GAB,GAB,-0.803689,11.609444
Gambia,GAM,GMB,13.443182,-15.310139
Georgia,GEO,GEO,42.315407,43.356892
Germany,GER,DEU,51.165691,10.451526
Ghana,GHA,GHA,7.946527,-1.023194
Gibraltar,GIB,GIB,36.137741,-5.345374
Greece,GRE,GRC,39.074208,21.824312
Grenada,GRN,GRD,12.262776,-61.604171
Guam,GUM,GUM,13.444304,144.793731
Guatemala,GUA,GTM,15.783471,-90.230759
Guinea,GUI,GIN,9.945587,-9.696645
GuineaBissau,GNB,GNB,11.803749,-15.180413
Guyana,GUY,GUY,4.860416,-58.93018
Haiti,HAI,HTI,18.971187,-72.285215
Honduras,HON,HND,15.199999,-86.241905
Hong Kong,HKG,HKG,22.396428,114.109497
Hungary,HUN,HUN,47.162494,19.503304
Iceland,ISL,ISL,64.963051,-19.020835
India,IND,IND,20.593684,78.96288
Indonesia,IDN,IDN,-0.789275,113.921327
Iran,IRN,IRN,32.427908,53.688046
Iraq,IRQ,IRQ,33.223191,43.679291
Ireland,IRL,IRL,53.41291,-8.24389
Israel,ISR,ISR,31.046051,34.851612
Italy,ITA,ITA,41.87194,12.56738
Jamaica,JAM,JAM,18.109581,-77.297508
Japan,JPN,JPN,36.204824,138.252924
Jordan,JOR,JOR,30.585164,36.238414
Kazakhstan,KAZ,KAZ,48.019573,66.923684
Kenya,KEN,KEN,-0.023559,37.906193
North Korea,PRK,PRK,40.339852,127.510093
South Korea,KOR,KOR,35.907757,127.766922
Kuwait,KUW,KWT,29.31166,47.481766
Kyrgyzstan,KGZ,KGZ,41.20438,74.766098
Laos,LAO,LAO,19.85627,102.495496
Latvia,LVA,LVA,56.879635,24.603189
Lebanon,LBN,LBN,33.854721,35.862285
Lesotho,LES,LSO,-29.609988,28.233608
Liberia,LBR,LBR,6.428055,-9.429499
Libya,LBY,LBY,26.3351,17.228331
Liechtenstein,LIE,LIE,47.166,9.555373
Lithuania,LTU,LTU,55.169438,23.881275
Luxembourg,LUX,LUX,49.815273,6.129583
Macau,MAC,MAC,22.198745,113.543873
Madagascar,MAD,MDG,-18.766947,46.869107
Malawi,MWI,MWI,-13.254308,34.301525
Malaysia,MAS,MYS,4.210484,101.975766
Maldives,MDV,MDV,3.202778,73.22068
Mali,MLI,MLI,17.570692,-3.996166
Malta,MLT,MLT,35.937496,14.375416
Mauritania,MTN,MRT,21.00789,-10.940835
Mauritius,MRI,MUS,-20.348404,57.552152
Mexico,MEX,MEX,23.634501,-102.552784
Moldova,MDA,MDA,47.411631,28.369885
Mongolia,MNG,MNG,46.862496,103.846656
Montenegro,MNE,MNE,42.708678,19.37439
Montserrat,MSR,MSR,16.742498,-62.187366
Morocco,MAR,MAR,31.791702,-7.09262
Mozambique,MOZ,MOZ,-18.665695,35.529562
Myanmar,MYA,MMR,21.913965,95.956223
Namibia,NAM,NAM,-22.95764,18.49041
Nepal,NEP,NPL,28.394857,84.124008
Netherlands,NED,NLD,52.132633,5.291266
New Caledonia,NCL,NCL,-20.904305,165.618042
New Zealand,NZL,NZL,-40.900557,174.885971
Nicaragua,NCA,NIC,12.865416,-85.207229
Niger,NIG,NER,17.607789,8.081666
Nigeria,NGA,NGA,9.081999,8.675277
Northern Ireland,NIR,GB-NIR,54.703013,-6.769446
North Macedonia,MKD,MKD,41.608635,21.745275
Norway,NOR,NOR,60.472024,8.468946
Oman,OMA,OMN,21.512583,55.923255
Pakistan,PAK,PAK,30.375321,69.345116
State of Palestine,PLE,PSE,31.952162,35.233154
Panama,PAN,PAN,8.537981,-80.782127
Papua New Guinea,PNG,PNG,-6.314993,143.95555
Paraguay,PAR,PRY,-23.442503,-58.443832
