Country,FIFA,ISO,latitude,longitude,continent,Count
Albania,ALB,ALB,41.153332,20.168331,Europe,14
Algeria,ALG,DZA,28.033886,1.659626,Africa,29
Angola,ANG,AGO,-11.202692,17.873887,Africa,4
Argentina,ARG,ARG,-38.416097,-63.616672,South America,73
Armenia,ARM,ARM,40.069099,45.038189,Asia,3
Australia,AUS,AUS,-25.274398,133.775136,Oceania,2
Austria,AUT,AUT,47.516231,14.550072,Europe,36
Belgium,BEL,BEL,50.503887,4.469936,Europe,42
Benin,BEN,BEN,9.30769,2.315834,Africa,3
Burkina Faso,BFA,BFA,12.238333,-1.561593,Africa,4
Bosnia and Herzegovina,BIH,BIH,43.915886,17.679076,Europe,12
Brazil,BRA,BRA,-14.235004,-51.92528,South America,104
Bulgaria,BUL,BGR,42.733883,25.48583,Europe,1
Canada,CAN,CAN,56.130366,-106.346771,North America,4
"Congo, Republic of the",CGO,COG,-0.228021,15.827659,Africa,3
Chad,CHA,TCD,15.454166,18.732207,Africa,1
Chile,CHI,CHL,-35.675147,-71.542969,South America,11
"China, Peoples Republic of",CHN,CHN,35.86166,104.195397,Asia,1
Ivory Coast,CIV,CIV,7.539989,-5.54708,Africa,33
Cameroon,CMR,CMR,7.369722,12.354722,Africa,24
"Congo, Democratic Republic of the",COD,COD,-4.038333,21.758664,Africa,8
Colombia,COL,COL,4.570868,-74.297333,South America,21
Cape Verde,CPV,CPV,16.002082,-24.013197,Africa,4
Costa Rica,CRC,CRI,9.748917,-83.753428,North America,3
Croatia,CRO,HRV,45.1,15.2,Europe,37
Central African Republic,CTA,CAF,6.611111,20.939444,Africa,2
Cyprus,CYP,CYP,35.126413,33.429859,Europe,1
Czech Republic,CZE,CZE,49.817492,15.472962,Europe,13
Denmark,DEN,DNK,56.26392,9.501785,Europe,42
Dominican Republic,DOM,DOM,18.735693,-70.162651,North America,2
Ecuador,ECU,ECU,-1.831239,-78.183406,South America,7
Egypt,EGY,EGY,26.820553,30.802498,Africa,5
England,ENG,GB-ENG,52.177943,-1.605872,Europe,216
Equatorial Guinea,EQG,GNQ,1.650801,10.267895,Africa,3
Spain,ESP,ESP,40.463667,-3.74922,Europe,436
Finland,FIN,FIN,61.92411,25.748151,Europe,8
France,FRA,FRA,46.227638,2.213749,Europe,388
Gabon,GAB,GAB,-0.803689,11.609444,Africa,5
Gambia,GAM,GMB,13.443182,-15.310139,Africa,4
Georgia,GEO,GEO,42.315407,43.356892,Asia,2
Germany,GER,DEU,51.165691,10.451526,Europe,251
Ghana,GHA,GHA,7.946527,-1.023194,Africa,25
Guadeloupe,GLP,GLP,16.995971,-62.067641,North America,1
GuineaBissau,GNB,GNB,11.803749,-15.180413,Africa,5
Greece,GRE,GRC,39.074208,21.824312,Europe,17
Grenada,GRN,GRD,12.262776,-61.604171,North America,1
French Guiana,GUF,GUF,3.933889,-53.125782,South America,2
Guinea,GUI,GIN,9.945587,-9.696645,Africa,11
Honduras,HON,HND,15.199999,-86.241905,North America,2
Hungary,HUN,HUN,47.162494,19.503304,Europe,7
Ireland,IRL,IRL,53.41291,-8.24389,Europe,15
Iran,IRN,IRN,32.427908,53.688046,Asia,2
Iceland,ISL,ISL,64.963051,-19.020835,Europe,6
Israel,ISR,ISR,31.046051,34.851612,Asia,3
Italy,ITA,ITA,41.87194,12.56738,Europe,257
Jamaica,JAM,JAM,18.109581,-77.297508,North America,3
Japan,JPN,JPN,36.204824,138.252924,Asia,14
South Korea,KOR,KOR,35.907757,127.766922,Asia,9
Kosovo,KVX,XKX,42.602636,20.902977,Europe,10
Luxembourg,LUX,LUX,49.815273,6.129583,Europe,4
Madagascar,MAD,MDG,-18.766947,46.869107,Africa,2
Morocco,MAR,MAR,31.791702,-7.09262,Africa,27
Mexico,MEX,MEX,23.634501,-102.552784,North America,10
North Macedonia,MKD,MKD,41.608635,21.745275,Europe,5
Mali,MLI,MLI,17.570692,-3.996166,Africa,27
Montenegro,MNE,MNE,42.708678,19.37439,Europe,7
Mozambique,MOZ,MOZ,-18.665695,35.529562,Africa,3
Martinique,MTQ,MTQ,14.641528,-61.024174,North America,3
Netherlands,NED,NLD,52.132633,5.291266,Europe,80
Nigeria,NGA,NGA,9.081999,8.675277,Africa,28
Northern Ireland,NIR,GB-NIR,54.703013,-6.769446,Europe,5
Norway,NOR,NOR,60.472024,8.468946,Europe,26
New Zealand,NZL,NZL,-40.900557,174.885971,Oceania,3
Panama,PAN,PAN,8.537981,-80.782127,North America,1
Paraguay,PAR,PRY,-23.442503,-58.443832,South America,5
Peru,PER,PER,-9.189967,-75.015152,South America,3
Philippines,PHI,PHL,12.879721,121.774017,Asia,1
Poland,POL,POL,51.919438,19.145136,Europe,34
Portugal,POR,PRT,39.399872,-8.224454,Europe,58
Reunion,REU,REU,-21.115141,55.536384,Africa,1
Romania,ROU,ROU,45.943161,24.96676,Europe,11
South Africa,RSA,ZAF,-30.559482,22.937506,Africa,2
Russian Federation,RUS,RUS,61.52401,105.318756,Europe,6
Scotland,SCO,GB-SCT,57.092069,-4.747962,Europe,19
Senegal,SEN,SEN,14.497401,-14.452362,Africa,47
Sierra Leone,SLE,SLE,8.460555,-11.779889,Africa,1
Serbia,SRB,SRB,44.016521,21.005859,Europe,37
Sri Lanka,SRI,LKA,7.873054,80.771797,Asia,1
Switzerland,SUI,CHE,46.818188,8.227512,Europe,34
Suriname,SUR,SUR,3.919305,-56.027783,South America,2
Slovakia,SVK,SVK,48.669026,19.699024,Europe,14
Slovenia,SVN,SVN,46.151241,14.995463,Europe,8
Sweden,SWE,SWE,60.128161,18.643501,Europe,24
Togo,TOG,TGO,8.619543,0.824782,Africa,4
Tunisia,TUN,TUN,33.886917,9.537499,Africa,9
Turkey,TUR,TUR,38.963745,35.243322,Asia,20
Ukraine,UKR,UKR,48.379433,31.16558,Europe,9
Uruguay,URU,URY,-32.522779,-55.765835,South America,30
United States,USA,USA,37.09024,-95.712891,North America,30
Uzbekistan,UZB,UZB,41.377491,64.585262,Asia,1
Venezuela,VEN,VEN,6.42375,-66.58973,South America,7
Wales,WAL,GB-WLS,52.002437,-4.374426,Europe,15
Zambia,ZAM,ZMB,-13.133897,27.849332,Africa,2
Zimbabwe,ZIM,ZWE,-19.015438,29.154857,Africa,3
