Player,Nation,Pos,Squad,Comp,Age,Born,LeagueRank,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer,Goalkeeper,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%,Goals PKA,Goals FK,Goals CK,Goals OG,Expected PSxG,Expected PSxG/SoT,Expected PSxG+/-,Expected /90,Launched Cmp,Launched Att,Launched Cmp%,Passes Att,Passes Thr,Passes Launch%,Passes AvgLen,Goal Kicks Att,Goal Kicks Launch%,Goal Kicks AvgLen,Crosses Opp,Crosses Stp,Crosses Stp%,Sweeper #OPA,Sweeper #OPA/90,Sweeper AvgDist
Ederson,BRA,GK,Manchester City,Premier League,27,1993,1,38,29,6,3,99,26,73,93,2.45,88.5,27.1,61.3,1.61,52774,Kevin De Bruyne - 15,Ederson,37,37,3330,37,26,0.7,83,56,69.9,20,54.1,1,1,0,0,0,1,0,1,0,24.8,0.29,-1.2,-0.03,155,262,59.2,951,151,24,30,138,24.6,31.6,181,16,8.8,34,0.92,17.2
Alisson,BRA,GK,Liverpool,Premier League,28,1992,2,38,28,8,2,94,26,68,92,2.42,89.2,33.8,55.4,1.46,53352,Mohamed Salah - 23,Alisson,36,36,3240,36,24,0.67,97,73,75.3,20,55.6,0,0,0,0,,0,0,4,1,27.4,0.28,4.4,0.12,187,345,54.2,1189,195,22.5,29.9,171,45.6,40,221,21,9.5,63,1.75,18.1
Manuel Neuer,GER,GK,Bayern Munich,Bundesliga,35,1986,1,34,24,5,5,97,37,60,77,2.26,88.1,37.1,51,1.5,33176,Robert Lewandowski - 35,Manuel Neuer,28,28,2510,27.9,26,0.93,89,64,71.9,10,35.7,1,1,0,0,0,1,0,1,0,24.8,0.27,-1.2,-0.04,172,294,58.5,1072,158,25.2,30.7,166,14.5,27.5,191,12,6.3,41,1.47,19.8
Keylor Navas,CRC,GK,Paris S-G,Ligue 1,34,1986,1,38,26,8,4,90,36,54,86,2.26,76.5,38.6,37.9,1,41589,Kylian Mbappé - 28,Keylor Navas,21,21,1856,20.6,18,0.87,76,60,78.9,8,38.1,2,2,0,0,0,2,0,2,0,18.4,0.22,0.4,0.02,45,84,53.6,413,96,16.5,27,139,11.5,22.4,155,8,5.2,11,0.53,13.4
Thibaut Courtois,BEL,GK,Real Madrid,La Liga,29,1992,1,38,26,8,4,80,31,49,86,2.26,74.4,46.8,27.6,0.73,41235,Karim Benzema - 27,Thibaut Courtois,36,36,3240,36,29,0.81,116,88,76.7,16,44.4,3,2,1,0,33.3,2,1,2,0,33.4,0.27,4.4,0.12,114,306,37.3,929,188,23.5,31.2,210,41.9,39.1,312,27,8.7,21,0.58,14.2
Mike Maignan,FRA,GK,Milan,Serie A,26,1995,1,38,26,8,4,69,31,38,86,2.26,63.1,34.8,28.3,0.74,44015,Olivier Giroud Rafael Leão - 11,Mike Maignan,32,32,2880,32,21,0.66,101,81,81.2,17,53.1,2,2,0,0,0,2,0,4,1,28,0.26,8,0.25,219,450,48.7,1002,154,38.3,36.7,148,44.6,40.7,211,26,12.3,26,0.81,15.3
Samir Handanović,SVN,GK,Inter,Serie A,37,1984,2,38,25,9,4,84,32,52,84,2.21,81.4,39.2,42.2,1.11,44473,Lautaro Martínez - 21,Samir Handanović,37,37,3330,37,30,0.81,121,94,78.5,15,40.5,4,4,0,0,0,4,0,3,1,31.6,0.24,2.6,0.07,206,382,53.9,1114,167,30.5,30.5,145,29,30.1,253,15,5.9,4,0.11,12.2
David Ospina,COL,GK,Napoli,Serie A,32,1988,3,38,24,7,7,74,31,43,79,2.08,59.4,31.9,27.6,0.73,28119,Victor Osimhen - 14,David Ospina,31,31,2790,31,25,0.81,104,81,76.9,13,41.9,1,1,0,0,0,1,0,3,1,29.2,0.28,5.2,0.17,131,289,45.3,854,122,30.2,31.8,142,21.8,25.9,208,17,8.2,19,0.61,14.9
Gregor Kobel,SUI,GK,Dortmund,Bundesliga,23,1997,2,34,22,3,9,85,52,33,69,2.03,62.8,43.2,19.6,0.58,41800,Erling Haaland - 22,Gregor Kobel,29,29,2565,28.5,39,1.37,105,71,65.7,7,24.1,3,3,0,0,0,3,2,5,2,35.8,0.32,-1.2,-0.04,103,277,37.2,836,135,24.4,30.2,184,39.7,37.1,189,20,10.6,27,0.95,15.6
Edouard Mendy,SEN,GK,Chelsea,Premier League,29,1992,3,38,21,11,6,76,33,43,74,1.95,67.2,36,31.3,0.82,36443,Mason Mount - 11,Edouard Mendy,34,34,3060,34,31,0.91,95,70,73.7,14,41.2,6,6,0,0,0,6,0,1,1,29.6,0.26,-0.4,-0.01,114,248,46,763,129,24.8,28.7,176,33.5,30.3,243,19,7.8,19,0.56,13.8
