,Country,League,FIFA,ISO,latitude,longitude,Count
0,Albania,La Liga,ALB,ALB,41.153332,20.168331,3
1,Albania,Premier League,ALB,ALB,41.153332,20.168331,1
2,Albania,Serie A,ALB,ALB,41.153332,20.168331,10
3,Algeria,Bundesliga,ALG,DZA,28.033886,1.659626,2
4,Algeria,La Liga,ALG,DZA,28.033886,1.659626,1
5,Algeria,Ligue 1,ALG,DZA,28.033886,1.659626,20
6,Algeria,Premier League,ALG,DZA,28.033886,1.659626,2
7,Algeria,Serie A,ALG,DZA,28.033886,1.659626,4
8,Angola,Bundesliga,ANG,AGO,-11.202692,17.873887,1
9,Angola,La Liga,ANG,AGO,-11.202692,17.873887,1
10,Angola,Premier League,ANG,AGO,-11.202692,17.873887,1
11,Angola,Serie A,ANG,AGO,-11.202692,17.873887,1
12,Argentina,Bundesliga,ARG,ARG,-38.416097,-63.616672,3
13,Argentina,La Liga,ARG,ARG,-38.416097,-63.616672,33
14,Argentina,Ligue 1,ARG,ARG,-38.416097,-63.616672,8
15,Argentina,Premier League,ARG,ARG,-38.416097,-63.616672,8
16,Argentina,Serie A,ARG,ARG,-38.416097,-63.616672,21
17,Armenia,Bundesliga,ARM,ARM,40.069099,45.038189,1
18,Armenia,La Liga,ARM,ARM,40.069099,45.038189,1
19,Armenia,Serie A,ARM,ARM,40.069099,45.038189,1
20,Australia,Bundesliga,AUS,AUS,-25.274398,133.775136,1
21,Australia,La Liga,AUS,AUS,-25.274398,133.775136,1
22,Austria,Bundesliga,AUT,AUT,47.516231,14.550072,26
23,Austria,La Liga,AUT,AUT,47.516231,14.550072,2
24,Austria,Ligue 1,AUT,AUT,47.516231,14.550072,3
25,Austria,Premier League,AUT,AUT,47.516231,14.550072,1
26,Austria,Serie A,AUT,AUT,47.516231,14.550072,4
27,Belgium,Bundesliga,BEL,BEL,50.503887,4.469936,12
28,Belgium,La Liga,BEL,BEL,50.503887,4.469936,5
29,Belgium,Ligue 1,BEL,BEL,50.503887,4.469936,9
30,Belgium,Premier League,BEL,BEL,50.503887,4.469936,10
31,Belgium,Serie A,BEL,BEL,50.503887,4.469936,6
32,Benin,Ligue 1,BEN,BEN,9.30769,2.315834,3
33,Burkina Faso,Bundesliga,BFA,BFA,12.238333,-1.561593,1
34,Burkina Faso,Ligue 1,BFA,BFA,12.238333,-1.561593,2
35,Burkina Faso,Premier League,BFA,BFA,12.238333,-1.561593,1
36,Bosnia and Herzegovina,Bundesliga,BIH,BIH,43.915886,17.679076,2
37,Bosnia and Herzegovina,Ligue 1,BIH,BIH,43.915886,17.679076,3
38,Bosnia and Herzegovina,Premier League,BIH,BIH,43.915886,17.679076,2
39,Bosnia and Herzegovina,Serie A,BIH,BIH,43.915886,17.679076,5
40,Brazil,Bundesliga,BRA,BRA,-14.235004,-51.92528,7
41,Brazil,La Liga,BRA,BRA,-14.235004,-51.92528,19
42,Brazil,Ligue 1,BRA,BRA,-14.235004,-51.92528,27
43,Brazil,Premier League,BRA,BRA,-14.235004,-51.92528,27
44,Brazil,Serie A,BRA,BRA,-14.235004,-51.92528,24
45,Bulgaria,Serie A,BUL,BGR,42.733883,25.48583,1
46,Canada,Bundesliga,CAN,CAN,56.130366,-106.346771,1
47,Canada,La Liga,CAN,CAN,56.130366,-106.346771,1
48,Canada,Ligue 1,CAN,CAN,56.130366,-106.346771,2
49,"Congo, Republic of the",Bundesliga,CGO,COG,-0.228021,15.827659,1
50,"Congo, Republic of the",Ligue 1,CGO,COG,-0.228021,15.827659,2
51,Chad,Ligue 1,CHA,TCD,15.454166,18.732207,1
52,Chile,Bundesliga,CHI,CHL,-35.675147,-71.542969,1
53,Chile,La Liga,CHI,CHL,-35.675147,-71.542969,3
54,Chile,Ligue 1,CHI,CHL,-35.675147,-71.542969,1
55,Chile,Premier League,CHI,CHL,-35.675147,-71.542969,1
56,Chile,Serie A,CHI,CHL,-35.675147,-71.542969,5
57,"China, Peoples Republic of",La Liga,CHN,CHN,35.86166,104.195397,1
58,Ivory Coast,Bundesliga,CIV,CIV,7.539989,-5.54708,1
59,Ivory Coast,La Liga,CIV,CIV,7.539989,-5.54708,3
60,Ivory Coast,Ligue 1,CIV,CIV,7.539989,-5.54708,12
61,Ivory Coast,Premier League,CIV,CIV,7.539989,-5.54708,7
62,Ivory Coast,Serie A,CIV,CIV,7.539989,-5.54708,10
63,Cameroon,Bundesliga,CMR,CMR,7.369722,12.354722,1
64,Cameroon,La Liga,CMR,CMR,7.369722,12.354722,2
65,Cameroon,Ligue 1,CMR,CMR,7.369722,12.354722,15
66,Cameroon,Premier League,CMR,CMR,7.369722,12.354722,2
67,Cameroon,Serie A,CMR,CMR,7.369722,12.354722,4
68,"Congo, Democratic Republic of the",Bundesliga,COD,COD,-4.038333,21.758664,1
69,"Congo, Democratic Republic of the",Ligue 1,COD,COD,-4.038333,21.758664,4
70,"Congo, Democratic Republic of the",Premier League,COD,COD,-4.038333,21.758664,3
71,Colombia,Bundesliga,COL,COL,4.570868,-74.297333,1
72,Colombia,La Liga,COL,COL,4.570868,-74.297333,8
73,Colombia,Ligue 1,COL,COL,4.570868,-74.297333,1
74,Colombia,Premier League,COL,COL,4.570868,-74.297333,5
75,Colombia,Serie A,COL,COL,4.570868,-74.297333,6
76,Cape Verde,La Liga,CPV,CPV,16.002082,-24.013197,1
77,Cape Verde,Ligue 1,CPV,CPV,16.002082,-24.013197,2
78,Cape Verde,Serie A,CPV,CPV,16.002082,-24.013197,1
79,Costa Rica,Bundesliga,CRC,CRI,9.748917,-83.753428,1
80,Costa Rica,La Liga,CRC,CRI,9.748917,-83.753428,1
81,Costa Rica,Ligue 1,CRC,CRI,9.748917,-83.753428,1
82,Croatia,Bundesliga,CRO,HRV,45.1,15.2,9
83,Croatia,La Liga,CRO,HRV,45.1,15.2,4
84,Croatia,Ligue 1,CRO,HRV,45.1,15.2,6
85,Croatia,Premier League,CRO,HRV,45.1,15.2,2
86,Croatia,Serie A,CRO,HRV,45.1,15.2,16
87,Central African Republic,La Liga,CTA,CAF,6.611111,20.939444,1
88,Central African Republic,Ligue 1,CTA,CAF,6.611111,20.939444,1
89,Cyprus,Serie A,CYP,CYP,35.126413,33.429859,1
90,Czech Republic,Bundesliga,CZE,CZE,49.817492,15.472962,5
91,Czech Republic,La Liga,CZE,CZE,49.817492,15.472962,1
92,Czech Republic,Premier League,CZE,CZE,49.817492,15.472962,4
93,Czech Republic,Serie A,CZE,CZE,49.817492,15.472962,3
94,Denmark,Bundesliga,DEN,DNK,56.26392,9.501785,15
95,Denmark,La Liga,DEN,DNK,56.26392,9.501785,5
96,Denmark,Ligue 1,DEN,DNK,56.26392,9.501785,1
97,Denmark,Premier League,DEN,DNK,56.26392,9.501785,14
98,Denmark,Serie A,DEN,DNK,56.26392,9.501785,7
99,Dominican Republic,La Liga,DOM,DOM,18.735693,-70.162651,2
100,Ecuador,Bundesliga,ECU,ECU,-1.831239,-78.183406,2
