Nation,Count
ALB,14
ALG,29
ANG,4
ARG,73
ARM,3
AUS,2
AUT,36
BEL,42
BEN,3
BFA,4
BIH,12
BRA,104
BUL,1
CAN,4
CGO,3
CHA,1
CHI,11
CHN,1
CIV,33
CMR,24
COD,8
COL,21
CPV,4
CRC,3
CRO,37
CTA,2
CYP,1
CZE,13
DEN,42
DOM,2
ECU,7
EGY,5
ENG,216
EQG,3
ESP,436
FIN,8
FRA,388
GAB,5
GAM,4
GEO,2
GER,251
GHA,25
GLP,1
GNB,5
GRE,17
GRN,1
GUF,2
GUI,11
HON,2
HUN,7
IRL,15
IRN,2
ISL,6
ISR,3
ITA,257
JAM,3
JPN,14
KOR,9
KVX,10
LUX,4
MAD,2
MAR,27
MEX,10
MKD,5
MLI,27
MNE,7
MOZ,3
MTQ,3
NED,80
NGA,28
NIR,5
NOR,26
NZL,3
PAN,1
PAR,5
PER,3
PHI,1
POL,34
POR,58
REU,1
ROU,11
RSA,2
RUS,6
SCO,19
SEN,47
SLE,1
SRB,37
SRI,1
SUI,34
SUR,2
SVK,14
SVN,8
SWE,24
TOG,4
TUN,9
TUR,20
UKR,9
URU,30
USA,30
UZB,1
VEN,7
WAL,15
ZAM,2
ZIM,3
